Year,Sexo,Edad,Units,Value
2018,,16 años y más,Porcentaje,1.1
2020,,16 años y más,Porcentaje,0.1
2022,,16 años y más,Porcentaje,0.7
2012,,16 años y más,Porcentaje,0.7
2019,,16 años y más,Porcentaje,1.1
2010,,16 años y más,Porcentaje,0.1
2011,,16 años y más,Porcentaje,0.2
2016,,16 años y más,Porcentaje,0.0
2014,,16 años y más,Porcentaje,0.4
2017,,16 años y más,Porcentaje,0.0
2013,,16 años y más,Porcentaje,0.2
2015,,16 años y más,Porcentaje,0.0
2021,,16 años y más,Porcentaje,0.7
2013,Mujer,16 años y más,Porcentaje,0.2
2018,Mujer,16 años y más,Porcentaje,0.9
2015,Mujer,16 años y más,Porcentaje,0.0
2017,Mujer,16 años y más,Porcentaje,0.0
2020,Mujer,16 años y más,Porcentaje,0.2
2016,Mujer,16 años y más,Porcentaje,0.0
2019,Mujer,16 años y más,Porcentaje,1.3
2012,Mujer,16 años y más,Porcentaje,0.4
2022,Mujer,16 años y más,Porcentaje,0.9
2010,Mujer,16 años y más,Porcentaje,0.1
2011,Mujer,16 años y más,Porcentaje,0.2
2021,Mujer,16 años y más,Porcentaje,0.7
2014,Mujer,16 años y más,Porcentaje,0.4
2016,Hombre,16 años y más,Porcentaje,0.0
2019,Hombre,16 años y más,Porcentaje,0.9
2021,Hombre,16 años y más,Porcentaje,0.6
2018,Hombre,16 años y más,Porcentaje,1.3
2014,Hombre,16 años y más,Porcentaje,0.4
2020,Hombre,16 años y más,Porcentaje,0.0
2015,Hombre,16 años y más,Porcentaje,0.0
2011,Hombre,16 años y más,Porcentaje,0.2
2010,Hombre,16 años y más,Porcentaje,0.1
2013,Hombre,16 años y más,Porcentaje,0.2
2017,Hombre,16 años y más,Porcentaje,0.0
2012,Hombre,16 años y más,Porcentaje,1.1
2022,Hombre,16 años y más,Porcentaje,0.5
