Year,Age,Sex,Province,Units,Value
2018,5 years,,,%,100.0
2010,5 years,,,%,100.1
2014,5 years,,,%,99.3
2016,5 years,,,%,100.0
2012,5 years,,,%,99.7
2013,5 years,,,%,99.8
2022,5 years,,,%,99.6
2011,5 years,,,%,100.3
2020,5 years,,,%,99.8
2015,5 years,,,%,99.6
2021,5 years,,,%,99.1
2017,5 years,,,%,99.8
2019,5 years,,,%,99.8
2022,5 years,,Araba/Álava,%,98.6
2021,5 years,,Araba/Álava,%,99.0
2020,5 years,,Araba/Álava,%,99.5
2022,5 years,,Bizkaia,%,100.1
2021,5 years,,Bizkaia,%,99.4
2020,5 years,,Bizkaia,%,100.5
2020,5 years,,Gipuzkoa,%,98.9
2021,5 years,,Gipuzkoa,%,98.6
2022,5 years,,Gipuzkoa,%,99.5
2020,5 years,Female,,%,100.0
2014,5 years,Female,,%,98.9
2011,5 years,Female,,%,100.0
2022,5 years,Female,,%,98.9
2016,5 years,Female,,%,99.7
2015,5 years,Female,,%,99.5
2010,5 years,Female,,%,99.7
2019,5 years,Female,,%,99.9
2017,5 years,Female,,%,99.8
2013,5 years,Female,,%,99.6
2012,5 years,Female,,%,98.5
2018,5 years,Female,,%,99.9
2021,5 years,Female,,%,98.6
2022,5 years,Female,Araba/Álava,%,98.8
2020,5 years,Female,Araba/Álava,%,100.0
2021,5 years,Female,Araba/Álava,%,98.6
2022,5 years,Female,Bizkaia,%,99.0
2020,5 years,Female,Bizkaia,%,100.8
2021,5 years,Female,Bizkaia,%,99.0
2020,5 years,Female,Gipuzkoa,%,98.8
2021,5 years,Female,Gipuzkoa,%,98.0
2022,5 years,Female,Gipuzkoa,%,98.8
2021,5 years,Male,,%,99.5
2016,5 years,Male,,%,100.4
2017,5 years,Male,,%,99.8
2014,5 years,Male,,%,99.7
2019,5 years,Male,,%,99.8
2020,5 years,Male,,%,99.6
2011,5 years,Male,,%,100.6
2022,5 years,Male,,%,100.4
2015,5 years,Male,,%,99.6
2012,5 years,Male,,%,100.7
2010,5 years,Male,,%,100.6
2013,5 years,Male,,%,100.0
2018,5 years,Male,,%,100.2
2020,5 years,Male,Araba/Álava,%,99.0
2022,5 years,Male,Araba/Álava,%,98.4
2021,5 years,Male,Araba/Álava,%,99.4
2022,5 years,Male,Bizkaia,%,101.1
2020,5 years,Male,Bizkaia,%,100.1
2021,5 years,Male,Bizkaia,%,99.8
2020,5 years,Male,Gipuzkoa,%,99.0
2022,5 years,Male,Gipuzkoa,%,100.2
2021,5 years,Male,Gipuzkoa,%,99.2
