Year,Computer skills,Sex,Age,Province,Units,Value
2021,at least one of the computer skills,,16-24 years,,%,96.16
2023,at least one of the computer skills,,16-24 years,,%,95.87
2020,at least one of the computer skills,,16-24 years,,%,95.9
2022,at least one of the computer skills,,16-24 years,,%,95.52
2019,at least one of the computer skills,,16-24 years,,%,95.75
2020,at least one of the computer skills,,16-24 years,Araba/Álava,%,98.43
2023,at least one of the computer skills,,16-24 years,Araba/Álava,%,99.48
2022,at least one of the computer skills,,16-24 years,Araba/Álava,%,94.58
2019,at least one of the computer skills,,16-24 years,Araba/Álava,%,95.61
2021,at least one of the computer skills,,16-24 years,Araba/Álava,%,96.8
2020,at least one of the computer skills,,16-24 years,Bizkaia,%,94.24
2019,at least one of the computer skills,,16-24 years,Bizkaia,%,97.06
2021,at least one of the computer skills,,16-24 years,Bizkaia,%,94.38
2023,at least one of the computer skills,,16-24 years,Bizkaia,%,93.78
2022,at least one of the computer skills,,16-24 years,Bizkaia,%,95.39
2020,at least one of the computer skills,,16-24 years,Gipuzkoa,%,97.22
2021,at least one of the computer skills,,16-24 years,Gipuzkoa,%,98.44
2022,at least one of the computer skills,,16-24 years,Gipuzkoa,%,96.1
2023,at least one of the computer skills,,16-24 years,Gipuzkoa,%,97.29
2019,at least one of the computer skills,,16-24 years,Gipuzkoa,%,94.0
2019,at least one of the computer skills,,16-74 years,,%,67.04
2021,at least one of the computer skills,,16-74 years,,%,75.0
2022,at least one of the computer skills,,16-74 years,,%,68.79
2023,at least one of the computer skills,,16-74 years,,%,71.49
2020,at least one of the computer skills,,16-74 years,,%,69.83
2019,at least one of the computer skills,,16-74 years,Araba/Álava,%,68.53
2023,at least one of the computer skills,,16-74 years,Araba/Álava,%,71.3
2022,at least one of the computer skills,,16-74 years,Araba/Álava,%,68.32
2021,at least one of the computer skills,,16-74 years,Araba/Álava,%,75.39
2020,at least one of the computer skills,,16-74 years,Araba/Álava,%,70.14
2021,at least one of the computer skills,,16-74 years,Bizkaia,%,74.63
2019,at least one of the computer skills,,16-74 years,Bizkaia,%,67.74
2022,at least one of the computer skills,,16-74 years,Bizkaia,%,68.54
