Year,Series,Educacion,Units,_NAME_,Value
2022,SE_TRA_GRDL,ISCED11_0,PT,2022,100
2012,SE_TRA_GRDL,ISCED11_0,PT,2012,100
2015,SE_TRA_GRDL,ISCED11_0,PT,2015,100
2018,SE_TRA_GRDL,ISCED11_0,PT,2018,100
2023,SE_TRA_GRDL,ISCED11_0,PT,2023,100
2013,SE_TRA_GRDL,ISCED11_0,PT,2013,100
2021,SE_TRA_GRDL,ISCED11_0,PT,2021,100
2011,SE_TRA_GRDL,ISCED11_0,PT,2011,100
2017,SE_TRA_GRDL,ISCED11_0,PT,2017,100
2020,SE_TRA_GRDL,ISCED11_0,PT,2020,100
2014,SE_TRA_GRDL,ISCED11_0,PT,2014,100
2019,SE_TRA_GRDL,ISCED11_0,PT,2019,100
2010,SE_TRA_GRDL,ISCED11_0,PT,2010,100
2016,SE_TRA_GRDL,ISCED11_0,PT,2016,100
2013,SE_TRA_GRDL,ISCED11_1,PT,2013,100
2014,SE_TRA_GRDL,ISCED11_1,PT,2014,100
2012,SE_TRA_GRDL,ISCED11_1,PT,2012,100
2011,SE_TRA_GRDL,ISCED11_1,PT,2011,100
2018,SE_TRA_GRDL,ISCED11_1,PT,2018,100
2017,SE_TRA_GRDL,ISCED11_1,PT,2017,100
2023,SE_TRA_GRDL,ISCED11_1,PT,2023,100
2016,SE_TRA_GRDL,ISCED11_1,PT,2016,100
2020,SE_TRA_GRDL,ISCED11_1,PT,2020,100
2015,SE_TRA_GRDL,ISCED11_1,PT,2015,100
2022,SE_TRA_GRDL,ISCED11_1,PT,2022,100
2021,SE_TRA_GRDL,ISCED11_1,PT,2021,100
2019,SE_TRA_GRDL,ISCED11_1,PT,2019,100
2010,SE_TRA_GRDL,ISCED11_1,PT,2010,100
2019,SE_TRA_GRDL,ISCED11_2,PT,2019,100
2016,SE_TRA_GRDL,ISCED11_2,PT,2016,100
2018,SE_TRA_GRDL,ISCED11_2,PT,2018,100
2020,SE_TRA_GRDL,ISCED11_2,PT,2020,100
2023,SE_TRA_GRDL,ISCED11_2,PT,2023,100
2022,SE_TRA_GRDL,ISCED11_2,PT,2022,100
2021,SE_TRA_GRDL,ISCED11_2,PT,2021,100
2017,SE_TRA_GRDL,ISCED11_2,PT,2017,100
2011,SE_TRA_GRDL,ISCED11_2,PT,2011,100
2010,SE_TRA_GRDL,ISCED11_2,PT,2010,100
2015,SE_TRA_GRDL,ISCED11_2,PT,2015,100
2012,SE_TRA_GRDL,ISCED11_2,PT,2012,100
2014,SE_TRA_GRDL,ISCED11_2,PT,2014,100
2013,SE_TRA_GRDL,ISCED11_2,PT,2013,100
2010,SE_TRA_GRDL,ISCED11_3,PT,2010,100
2019,SE_TRA_GRDL,ISCED11_3,PT,2019,100
2023,SE_TRA_GRDL,ISCED11_3,PT,2023,100
2015,SE_TRA_GRDL,ISCED11_3,PT,2015,100
2012,SE_TRA_GRDL,ISCED11_3,PT,2012,100
2014,SE_TRA_GRDL,ISCED11_3,PT,2014,100
2017,SE_TRA_GRDL,ISCED11_3,PT,2017,100
2016,SE_TRA_GRDL,ISCED11_3,PT,2016,100
2013,SE_TRA_GRDL,ISCED11_3,PT,2013,100
2018,SE_TRA_GRDL,ISCED11_3,PT,2018,100
2021,SE_TRA_GRDL,ISCED11_3,PT,2021,100
2020,SE_TRA_GRDL,ISCED11_3,PT,2020,100
2022,SE_TRA_GRDL,ISCED11_3,PT,2022,100
2011,SE_TRA_GRDL,ISCED11_3,PT,2011,100
