Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,,,,Por 10.000,,36.2
2020,,,,Por 10.000,,33.7
2022,,,,Por 10.000,,39.9
2021,,,,Por 10.000,,34.3
2021,,,Abadiño,Por 10.000,Abadiño,31.0
2020,,,Abadiño,Por 10.000,Abadiño,18.1
2019,,,Abadiño,Por 10.000,Abadiño,28.4
2020,,,Abaltzisketa,Por 10.000,Abaltzisketa,71.4
2019,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2021,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2021,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,52.9
2019,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,33.4
2020,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,50.3
2020,,,Aduna,Por 10.000,Aduna,132.7
2019,,,Aduna,Por 10.000,Aduna,0.0
2021,,,Aduna,Por 10.000,Aduna,0.0
2021,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,19.4
2019,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,22.6
2020,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,49.7
2019,,,Aia,Por 10.000,Aia,32.3
2021,,,Aia,Por 10.000,Aia,0.0
2020,,,Aia,Por 10.000,Aia,31.6
2021,,,Aizarnazabal,Por 10.000,Aizarnazabal,26.2
2019,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2020,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2021,,,Ajangiz,Por 10.000,Ajangiz,0.0
2019,,,Ajangiz,Por 10.000,Ajangiz,0.0
2020,,,Ajangiz,Por 10.000,Ajangiz,0.0
2019,,,Albiztur,Por 10.000,Albiztur,0.0
2021,,,Albiztur,Por 10.000,Albiztur,0.0
2020,,,Albiztur,Por 10.000,Albiztur,0.0
2021,,,Alegia,Por 10.000,Alegia,23.3
2020,,,Alegia,Por 10.000,Alegia,23.0
2019,,,Alegia,Por 10.000,Alegia,46.8
2021,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,32.7
2019,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,26.5
2020,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,39.5
2019,,,Alkiza,Por 10.000,Alkiza,0.0
2020,,,Alkiza,Por 10.000,Alkiza,0.0
2021,,,Alkiza,Por 10.000,Alkiza,0.0
2021,,,Alonsotegi,Por 10.000,Alonsotegi,59.4
2019,,,Alonsotegi,Por 10.000,Alonsotegi,53.9
2020,,,Alonsotegi,Por 10.000,Alonsotegi,20.1
2021,,,Altzaga,Por 10.000,Altzaga,0.0
2019,,,Altzaga,Por 10.000,Altzaga,0.0
2020,,,Altzaga,Por 10.000,Altzaga,0.0
2021,,,Altzo,Por 10.000,Altzo,0.0
2019,,,Altzo,Por 10.000,Altzo,0.0
2020,,,Altzo,Por 10.000,Altzo,0.0
2021,,,Amezketa,Por 10.000,Amezketa,22.3
2020,,,Amezketa,Por 10.000,Amezketa,22.5
2019,,,Amezketa,Por 10.000,Amezketa,0.0
2021,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,25.6
2020,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,25.8
2019,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,26.0
2019,,,Amoroto,Por 10.000,Amoroto,48.1
2020,,,Amoroto,Por 10.000,Amoroto,0.0
2021,,,Amoroto,Por 10.000,Amoroto,0.0
2021,,,Amurrio,Por 10.000,Amurrio,17.1
2019,,,Amurrio,Por 10.000,Amurrio,26.6
2020,,,Amurrio,Por 10.000,Amurrio,30.3
2019,,,Andoain,Por 10.000,Andoain,30.7
2021,,,Andoain,Por 10.000,Andoain,25.6
2020,,,Andoain,Por 10.000,Andoain,32.1
2020,,,Anoeta,Por 10.000,Anoeta,29.9
2019,,,Anoeta,Por 10.000,Anoeta,10.2
2021,,,Anoeta,Por 10.000,Anoeta,29.3
2020,,,Antzuola,Por 10.000,Antzuola,18.5
2019,,,Antzuola,Por 10.000,Antzuola,36.4
2021,,,Antzuola,Por 10.000,Antzuola,18.6
2020,,,Añana,Por 10.000,Añana,0.0
2021,,,Añana,Por 10.000,Añana,0.0
2019,,,Añana,Por 10.000,Añana,0.0
2019,,,Arakaldo,Por 10.000,Arakaldo,0.0
2021,,,Arakaldo,Por 10.000,Arakaldo,0.0
2020,,,Arakaldo,Por 10.000,Arakaldo,0.0
2021,,,Arama,Por 10.000,Arama,0.0
2020,,,Arama,Por 10.000,Arama,0.0
2019,,,Arama,Por 10.000,Arama,0.0
2021,,,Aramaio,Por 10.000,Aramaio,14.0
2019,,,Aramaio,Por 10.000,Aramaio,0.0
2020,,,Aramaio,Por 10.000,Aramaio,0.0
2020,,,Arantzazu,Por 10.000,Arantzazu,0.0
2021,,,Arantzazu,Por 10.000,Arantzazu,49.5
2019,,,Arantzazu,Por 10.000,Arantzazu,161.3
2021,,,Areatza,Por 10.000,Areatza,30.9
2019,,,Areatza,Por 10.000,Areatza,63.9
2020,,,Areatza,Por 10.000,Areatza,62.2
2019,,,Aretxabaleta,Por 10.000,Aretxabaleta,5.7
2020,,,Aretxabaleta,Por 10.000,Aretxabaleta,14.2
2021,,,Aretxabaleta,Por 10.000,Aretxabaleta,16.9
2021,,,Armiñón,Por 10.000,Armiñón,0.0
2020,,,Armiñón,Por 10.000,Armiñón,0.0
2019,,,Armiñón,Por 10.000,Armiñón,0.0
2021,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,55.7
2020,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,29.7
2019,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,31.1
2021,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,38.7
2020,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2019,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,19.6
2021,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,27.1
2019,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,32.1
2020,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,19.7
2020,,,Arratzu,Por 10.000,Arratzu,0.0
2019,,,Arratzu,Por 10.000,Arratzu,0.0
2021,,,Arratzu,Por 10.000,Arratzu,0.0
2019,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,21.4
2020,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,41.9
2021,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,0.0
2020,,,Arrieta,Por 10.000,Arrieta,36.1
2019,,,Arrieta,Por 10.000,Arrieta,0.0
2021,,,Arrieta,Por 10.000,Arrieta,0.0
2021,,,Arrigorriaga,Por 10.000,Arrigorriaga,36.1
2019,,,Arrigorriaga,Por 10.000,Arrigorriaga,21.2
2020,,,Arrigorriaga,Por 10.000,Arrigorriaga,40.6
2020,,,Artea,Por 10.000,Artea,27.9
2019,,,Artea,Por 10.000,Artea,0.0
2021,,,Artea,Por 10.000,Artea,0.0
2019,,,Artzentales,Por 10.000,Artzentales,30.5
2021,,,Artzentales,Por 10.000,Artzentales,29.4
2020,,,Artzentales,Por 10.000,Artzentales,0.0
2019,,,Artziniega,Por 10.000,Artziniega,41.4
2021,,,Artziniega,Por 10.000,Artziniega,10.6
2020,,,Artziniega,Por 10.000,Artziniega,20.9
2020,,,Asparrena,Por 10.000,Asparrena,73.7
2019,,,Asparrena,Por 10.000,Asparrena,25.0
2021,,,Asparrena,Por 10.000,Asparrena,48.1
2021,,,Asteasu,Por 10.000,Asteasu,13.5
2019,,,Asteasu,Por 10.000,Asteasu,52.3
2020,,,Asteasu,Por 10.000,Asteasu,13.2
2020,,,Astigarraga,Por 10.000,Astigarraga,38.3
2019,,,Astigarraga,Por 10.000,Astigarraga,37.5
2021,,,Astigarraga,Por 10.000,Astigarraga,25.5
2020,,,Ataun,Por 10.000,Ataun,47.9
2021,,,Ataun,Por 10.000,Ataun,12.2
2019,,,Ataun,Por 10.000,Ataun,23.8
2020,,,Atxondo,Por 10.000,Atxondo,0.0
2019,,,Atxondo,Por 10.000,Atxondo,14.2
2021,,,Atxondo,Por 10.000,Atxondo,14.6
2020,,,Aulesti,Por 10.000,Aulesti,0.0
2019,,,Aulesti,Por 10.000,Aulesti,0.0
2021,,,Aulesti,Por 10.000,Aulesti,0.0
2019,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,20.6
2020,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,0.0
2021,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,20.8
2020,,,Azkoitia,Por 10.000,Azkoitia,27.1
2019,,,Azkoitia,Por 10.000,Azkoitia,6.8
2021,,,Azkoitia,Por 10.000,Azkoitia,11.9
2021,,,Azpeitia,Por 10.000,Azpeitia,17.2
2020,,,Azpeitia,Por 10.000,Azpeitia,18.5
2019,,,Azpeitia,Por 10.000,Azpeitia,10.7
2020,,,Bakio,Por 10.000,Bakio,59.4
2019,,,Bakio,Por 10.000,Bakio,38.1
2021,,,Bakio,Por 10.000,Bakio,57.1
2020,,,Baliarrain,Por 10.000,Baliarrain,0.0
2019,,,Baliarrain,Por 10.000,Baliarrain,0.0
2021,,,Baliarrain,Por 10.000,Baliarrain,0.0
2019,,,Balmaseda,Por 10.000,Balmaseda,33.1
2020,,,Balmaseda,Por 10.000,Balmaseda,40.3
2021,,,Balmaseda,Por 10.000,Balmaseda,35.0
2019,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2021,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,73.0
2020,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,146.0
2021,,,Barakaldo,Por 10.000,Barakaldo,46.3
2020,,,Barakaldo,Por 10.000,Barakaldo,40.0
2019,,,Barakaldo,Por 10.000,Barakaldo,41.8
2021,,,Barrika,Por 10.000,Barrika,64.9
2020,,,Barrika,Por 10.000,Barrika,13.4
2019,,,Barrika,Por 10.000,Barrika,0.0
2021,,,Barrundia,Por 10.000,Barrundia,24.3
2019,,,Barrundia,Por 10.000,Barrundia,23.9
2020,,,Barrundia,Por 10.000,Barrundia,48.2
2021,,,Basauri,Por 10.000,Basauri,28.6
2019,,,Basauri,Por 10.000,Basauri,41.6
2020,,,Basauri,Por 10.000,Basauri,34.0
2019,,,Beasain,Por 10.000,Beasain,20.4
2021,,,Beasain,Por 10.000,Beasain,35.1
2020,,,Beasain,Por 10.000,Beasain,21.8
2019,,,Bedia,Por 10.000,Bedia,17.7
2021,,,Bedia,Por 10.000,Bedia,35.2
2020,,,Bedia,Por 10.000,Bedia,0.0
2020,,,Beizama,Por 10.000,Beizama,0.0
2021,,,Beizama,Por 10.000,Beizama,0.0
2019,,,Beizama,Por 10.000,Beizama,0.0
2019,,,Belauntza,Por 10.000,Belauntza,0.0
2020,,,Belauntza,Por 10.000,Belauntza,0.0
2021,,,Belauntza,Por 10.000,Belauntza,0.0
2021,,,Berango,Por 10.000,Berango,18.3
2020,,,Berango,Por 10.000,Berango,21.2
2019,,,Berango,Por 10.000,Berango,21.5
2021,,,Berantevilla,Por 10.000,Berantevilla,43.1
2020,,,Berantevilla,Por 10.000,Berantevilla,126.1
2019,,,Berantevilla,Por 10.000,Berantevilla,43.1
2019,,,Berastegi,Por 10.000,Berastegi,0.0
2020,,,Berastegi,Por 10.000,Berastegi,0.0
2021,,,Berastegi,Por 10.000,Berastegi,0.0
2020,,,Bergara,Por 10.000,Bergara,16.1
2021,,,Bergara,Por 10.000,Bergara,44.7
2019,,,Bergara,Por 10.000,Bergara,23.9
2020,,,Bermeo,Por 10.000,Bermeo,60.6
2021,,,Bermeo,Por 10.000,Bermeo,43.3
2019,,,Bermeo,Por 10.000,Bermeo,43.1
2019,,,Bernedo,Por 10.000,Bernedo,0.0
2021,,,Bernedo,Por 10.000,Bernedo,0.0
2020,,,Bernedo,Por 10.000,Bernedo,0.0
2019,,,Berriatua,Por 10.000,Berriatua,0.0
2021,,,Berriatua,Por 10.000,Berriatua,35.1
2020,,,Berriatua,Por 10.000,Berriatua,17.4
2021,,,Berriz,Por 10.000,Berriz,8.8
2020,,,Berriz,Por 10.000,Berriz,34.9
2019,,,Berriz,Por 10.000,Berriz,21.4
2019,,,Berrobi,Por 10.000,Berrobi,33.6
2021,,,Berrobi,Por 10.000,Berrobi,34.5
2020,,,Berrobi,Por 10.000,Berrobi,34.0
2019,,,Bidania-Goiatz,Por 10.000,Bidania-Goiatz,0.0
2020,,,Bidania-Goiatz,Por 10.000,Bidania-Goiatz,38.0
2021,,,Bidania-Goiatz,Por 10.000,Bidania-Goiatz,0.0
2019,,,Bilbao,Por 10.000,Bilbao,39.0
2021,,,Bilbao,Por 10.000,Bilbao,31.1
2020,,,Bilbao,Por 10.000,Bilbao,35.6
2019,,,Busturia,Por 10.000,Busturia,48.9
2020,,,Busturia,Por 10.000,Busturia,60.3
2021,,,Busturia,Por 10.000,Busturia,35.5
2021,,,Campezo/Kanpezu,Por 10.000,Campezo/Kanpezu,0.0
2019,,,Campezo/Kanpezu,Por 10.000,Campezo/Kanpezu,0.0
2020,,,Campezo/Kanpezu,Por 10.000,Campezo/Kanpezu,0.0
2020,,,Deba,Por 10.000,Deba,11.0
2019,,,Deba,Por 10.000,Deba,7.4
2021,,,Deba,Por 10.000,Deba,25.6
2020,,,Derio,Por 10.000,Derio,22.9
2021,,,Derio,Por 10.000,Derio,27.7
2019,,,Derio,Por 10.000,Derio,26.7
2019,,,Dima,Por 10.000,Dima,14.1
2020,,,Dima,Por 10.000,Dima,69.7
2021,,,Dima,Por 10.000,Dima,28.1
2019,,,Donostia / San Sebastián,Por 10.000,Donostia / San Sebastián,38.1
2021,,,Donostia / San Sebastián,Por 10.000,Donostia / San Sebastián,30.9
2020,,,Donostia / San Sebastián,Por 10.000,Donostia / San Sebastián,33.1
2019,,,Durango,Por 10.000,Durango,31.4
2021,,,Durango,Por 10.000,Durango,27.9
2020,,,Durango,Por 10.000,Durango,27.2
2021,,,Ea,Por 10.000,Ea,25.0
2020,,,Ea,Por 10.000,Ea,50.5
2019,,,Ea,Por 10.000,Ea,25.2
2020,,,Eibar,Por 10.000,Eibar,41.2
2021,,,Eibar,Por 10.000,Eibar,43.7
2019,,,Eibar,Por 10.000,Eibar,28.4
2021,,,Elantxobe,Por 10.000,Elantxobe,0.0
2020,,,Elantxobe,Por 10.000,Elantxobe,0.0
2019,,,Elantxobe,Por 10.000,Elantxobe,56.8
2019,,,Elburgo/Burgelu,Por 10.000,Elburgo/Burgelu,0.0
2020,,,Elburgo/Burgelu,Por 10.000,Elburgo/Burgelu,0.0
2021,,,Elburgo/Burgelu,Por 10.000,Elburgo/Burgelu,0.0
2019,,,Elciego,Por 10.000,Elciego,18.8
2020,,,Elciego,Por 10.000,Elciego,0.0
2021,,,Elciego,Por 10.000,Elciego,19.6
2021,,,Elduain,Por 10.000,Elduain,82.6
2019,,,Elduain,Por 10.000,Elduain,0.0
2020,,,Elduain,Por 10.000,Elduain,166.7
2019,,,Elgeta,Por 10.000,Elgeta,55.8
2021,,,Elgeta,Por 10.000,Elgeta,0.0
2020,,,Elgeta,Por 10.000,Elgeta,0.0
2020,,,Elgoibar,Por 10.000,Elgoibar,34.4
2019,,,Elgoibar,Por 10.000,Elgoibar,27.4
2021,,,Elgoibar,Por 10.000,Elgoibar,39.7
2019,,,Elorrio,Por 10.000,Elorrio,18.5
2020,,,Elorrio,Por 10.000,Elorrio,13.2
2021,,,Elorrio,Por 10.000,Elorrio,10.6
2021,,,Elvillar/Bilar,Por 10.000,Elvillar/Bilar,0.0
2019,,,Elvillar/Bilar,Por 10.000,Elvillar/Bilar,54.6
2020,,,Elvillar/Bilar,Por 10.000,Elvillar/Bilar,55.9
2019,,,Erandio,Por 10.000,Erandio,75.5
2020,,,Erandio,Por 10.000,Erandio,39.9
2021,,,Erandio,Por 10.000,Erandio,55.4
2019,,,Ereño,Por 10.000,Ereño,0.0
2020,,,Ereño,Por 10.000,Ereño,0.0
2021,,,Ereño,Por 10.000,Ereño,0.0
2021,,,Ermua,Por 10.000,Ermua,31.6
2020,,,Ermua,Por 10.000,Ermua,18.7
2019,,,Ermua,Por 10.000,Ermua,14.9
2019,,,Errenteria,Por 10.000,Errenteria,55.9
2020,,,Errenteria,Por 10.000,Errenteria,37.6
2021,,,Errenteria,Por 10.000,Errenteria,59.5
2020,,,Errezil,Por 10.000,Errezil,36.8
2021,,,Errezil,Por 10.000,Errezil,0.0
2019,,,Errezil,Por 10.000,Errezil,0.0
2021,,,Erriberagoitia/Ribera Alta,Por 10.000,Erriberagoitia/Ribera Alta,52.5
2020,,,Erriberagoitia/Ribera Alta,Por 10.000,Erriberagoitia/Ribera Alta,27.1
2019,,,Erriberagoitia/Ribera Alta,Por 10.000,Erriberagoitia/Ribera Alta,56.8
2019,,,Errigoiti,Por 10.000,Errigoiti,45.0
2021,,,Errigoiti,Por 10.000,Errigoiti,45.2
2020,,,Errigoiti,Por 10.000,Errigoiti,90.5
2019,,,Eskoriatza,Por 10.000,Eskoriatza,14.7
