Year,Tipo de violencia,Territorio,Units,Value
2021,Todos los tipos de violencia,Aia,Por 10.000,0.0
2019,Todos los tipos de violencia,Olaberria,Por 10.000,0.0
2019,Todos los tipos de violencia,Derio,Por 10.000,53.4
2018,Todos los tipos de violencia,Armiñón,Por 10.000,89.3
2020,Todos los tipos de violencia,Arratzua-Ubarrundia,Por 10.000,62.9
2019,Todos los tipos de violencia,Sukarrieta,Por 10.000,119.8
2019,Todos los tipos de violencia,Urnieta,Por 10.000,38.6
2020,Todos los tipos de violencia,Moreda de Álava/Moreda Araba,Por 10.000,0.0
2022,Todos los tipos de violencia,,Por 10.000,46.7
2020,Todos los tipos de violencia,Errigoiti,Por 10.000,90.5
2020,Todos los tipos de violencia,Etxebarri,Por 10.000,64.1
2020,Todos los tipos de violencia,Berantevilla,Por 10.000,126.1
2021,Todos los tipos de violencia,Agurain/Salvatierra,Por 10.000,34.9
2021,Todos los tipos de violencia,Arrasate/Mondragón,Por 10.000,55.2
2018,Todos los tipos de violencia,Itsasondo,Por 10.000,0.0
2021,Todos los tipos de violencia,Abaltzisketa,Por 10.000,0.0
2020,Todos los tipos de violencia,Pasaia,Por 10.000,47.3
2021,Todos los tipos de violencia,Arabako Lautada / Llanada Alavesa,Por 10.000,1.2
2020,Todos los tipos de violencia,Legazpi,Por 10.000,41.0
2018,Todos los tipos de violencia,Ziortza-Bolibar,Por 10.000,0.0
2018,Todos los tipos de violencia,Peñacerrada-Urizaharra,Por 10.000,0.0
2018,Todos los tipos de violencia,Bidania-Goiatz,Por 10.000,0.0
2021,Todos los tipos de violencia,Abadiño,Por 10.000,38.7
2019,Todos los tipos de violencia,San Millán/Donemiliaga,Por 10.000,94.0
2021,Todos los tipos de violencia,Elgoibar,Por 10.000,55.2
2020,Todos los tipos de violencia,Ermua,Por 10.000,41.2
2018,Todos los tipos de violencia,Lagrán,Por 10.000,128.2
2018,Todos los tipos de violencia,Forua,Por 10.000,21.3
2020,Todos los tipos de violencia,Lekeitio,Por 10.000,32.7
2019,Todos los tipos de violencia,Basauri,Por 10.000,50.1
2018,Todos los tipos de violencia,Legorreta,Por 10.000,13.8
2018,Todos los tipos de violencia,Artzentales,Por 10.000,30.1
2018,Todos los tipos de violencia,Valle de Trápaga-Trapagaran,Por 10.000,58.5
2018,Todos los tipos de violencia,Laukiz,Por 10.000,33.4
2018,Todos los tipos de violencia,Alkiza,Por 10.000,0.0
2019,Todos los tipos de violencia,Lizartza,Por 10.000,98.4
2021,Todos los tipos de violencia,Ormaiztegi,Por 10.000,15.9
2018,Todos los tipos de violencia,Maruri-Jatabe,Por 10.000,22.2
2019,Todos los tipos de violencia,Antzuola,Por 10.000,36.4
2018,Todos los tipos de violencia,Lanciego/Lantziego,Por 10.000,29.2
2021,Todos los tipos de violencia,Mendaro,Por 10.000,51.0
2021,Todos los tipos de violencia,Alkiza,Por 10.000,0.0
2021,Todos los tipos de violencia,Azkoitia,Por 10.000,18.6
2018,Todos los tipos de violencia,Arraia-Maeztu,Por 10.000,372.7
2022,Todos los tipos de violencia,Debabarrena / Bajo Deba,Por 10.000,77.3
2021,Todos los tipos de violencia,Errenteria,Por 10.000,79.1
2018,Todos los tipos de violencia,Elciego,Por 10.000,18.6
2020,Todos los tipos de violencia,Elciego,Por 10.000,19.2
2018,Todos los tipos de violencia,Agurain/Salvatierra,Por 10.000,49.0
2018,Todos los tipos de violencia,Abadiño,Por 10.000,44.1
2021,Todos los tipos de violencia,Elvillar/Bilar,Por 10.000,0.0
2019,Todos los tipos de violencia,Alonsotegi,Por 10.000,74.1
2019,Todos los tipos de violencia,Gautegiz Arteaga,Por 10.000,0.0
2018,Todos los tipos de violencia,Arrieta,Por 10.000,36.6
2018,Todos los tipos de violencia,Elantxobe,Por 10.000,0.0
2021,Todos los tipos de violencia,Murueta,Por 10.000,0.0
2019,Todos los tipos de violencia,Gaintza,Por 10.000,0.0
2018,Todos los tipos de violencia,Arabako Mendialdea / Montaña Alavesa,Por 10.000,112.4
2018,Todos los tipos de violencia,Nabarniz,Por 10.000,78.1
2019,Todos los tipos de violencia,Ispaster,Por 10.000,28.7
2018,Todos los tipos de violencia,Zamudio,Por 10.000,24.2
2019,Todos los tipos de violencia,Leioa,Por 10.000,52.8
2018,Todos los tipos de violencia,Arabako Errioxa / Rioja Alavesa,Por 10.000,26.9
2019,Todos los tipos de violencia,Lazkao,Por 10.000,21.5
2019,Todos los tipos de violencia,Zerain,Por 10.000,137.9
2019,Todos los tipos de violencia,Legazpi,Por 10.000,31.2
2021,Todos los tipos de violencia,Amurrio,Por 10.000,43.6
2021,Todos los tipos de violencia,Lantarón,Por 10.000,95.0
2018,Todos los tipos de violencia,Amezketa,Por 10.000,0.0
2018,Todos los tipos de violencia,Mutiloa,Por 10.000,0.0
2019,Todos los tipos de violencia,Aizarnazabal,Por 10.000,0.0
2019,Todos los tipos de violencia,Tolosaldea,Por 10.000,30.4
2019,Todos los tipos de violencia,Ziortza-Bolibar,Por 10.000,0.0
2022,Todos los tipos de violencia,Tolosaldea,Por 10.000,38.7
2020,Todos los tipos de violencia,Sopuerta,Por 10.000,30.9
2019,Todos los tipos de violencia,Arraia-Maeztu,Por 10.000,93.2
2021,Todos los tipos de violencia,Muskiz,Por 10.000,56.3
2020,Todos los tipos de violencia,Urduliz,Por 10.000,55.2
2020,Todos los tipos de violencia,Ubide,Por 10.000,0.0
2018,Todos los tipos de violencia,Mundaka,Por 10.000,62.4
2020,Todos los tipos de violencia,Asteasu,Por 10.000,13.2
2020,Todos los tipos de violencia,Anoeta,Por 10.000,29.9
2019,Todos los tipos de violencia,Meñaka,Por 10.000,0.0
2018,Todos los tipos de violencia,Añana (comarca),Por 10.000,25.4
2018,Todos los tipos de violencia,Mendata,Por 10.000,0.0
2020,Todos los tipos de violencia,Zumarraga,Por 10.000,16.7
2020,Todos los tipos de violencia,Altzo,Por 10.000,0.0
2018,Todos los tipos de violencia,Oyón-Oion,Por 10.000,41.0
2018,Todos los tipos de violencia,Deba,Por 10.000,14.8
2021,Todos los tipos de violencia,Asteasu,Por 10.000,67.7
2019,Todos los tipos de violencia,Peñacerrada-Urizaharra,Por 10.000,0.0
2021,Todos los tipos de violencia,Legorreta,Por 10.000,41.3
2019,Todos los tipos de violencia,Lantarón,Por 10.000,72.6
2019,Todos los tipos de violencia,Debabarrena / Bajo Deba,Por 10.000,29.4
2020,Todos los tipos de violencia,Elburgo/Burgelu,Por 10.000,0.0
2021,Todos los tipos de violencia,Beizama,Por 10.000,0.0
2018,Todos los tipos de violencia,Trucios-Turtzioz,Por 10.000,79.4
2021,Todos los tipos de violencia,Berastegi,Por 10.000,0.0
2021,Todos los tipos de violencia,Ayala/Aiara,Por 10.000,20.8
2019,Todos los tipos de violencia,Berrobi,Por 10.000,33.6
2020,Todos los tipos de violencia,,Por 10.000,46.7
2018,Todos los tipos de violencia,Bakio,Por 10.000,53.6
2018,Todos los tipos de violencia,Murueta,Por 10.000,0.0
2021,Todos los tipos de violencia,Berango,Por 10.000,28.7
2020,Todos los tipos de violencia,Debabarrena / Bajo Deba,Por 10.000,55.1
2018,Todos los tipos de violencia,Berriz,Por 10.000,12.7
2019,Todos los tipos de violencia,Santurtzi,Por 10.000,45.3
2018,Todos los tipos de violencia,Busturia,Por 10.000,73.3
2018,Todos los tipos de violencia,Belauntza,Por 10.000,82.6
2019,Todos los tipos de violencia,Zeanuri,Por 10.000,49.8
2019,Todos los tipos de violencia,Munitibar-Arbatzegi Gerrikaitz,Por 10.000,50.0
2019,Todos los tipos de violencia,Durango,Por 10.000,45.1
