Year,Sex,Province,Units,Value
2009,,,PT,87.6
2018,,,PT,95.8
2023,,,PT,99.0
2013,,,PT,93.3
2019,,,PT,97.0
2020,,,PT,96.9
2012,,,PT,92.4
2016,,,PT,95.8
2011,,,PT,91.7
2017,,,PT,96.1
2021,,,PT,97.2
2022,,,PT,97.6
2024,,,PT,99.2
2014,,,PT,93.6
2010,,,PT,89.5
2008,,,PT,87.8
2015,,,PT,96.0
2024,,Araba/Álava,PT,99.5
2018,,Araba/Álava,PT,96.8
2023,,Araba/Álava,PT,98.1
2020,,Araba/Álava,PT,97.5
2019,,Araba/Álava,PT,97.2
2016,,Araba/Álava,PT,96.5
2021,,Araba/Álava,PT,97.7
2009,,Araba/Álava,PT,83.9
2013,,Araba/Álava,PT,93.0
2012,,Araba/Álava,PT,91.0
2011,,Araba/Álava,PT,90.7
2008,,Araba/Álava,PT,86.8
2017,,Araba/Álava,PT,97.2
2015,,Araba/Álava,PT,96.7
2010,,Araba/Álava,PT,88.4
2014,,Araba/Álava,PT,94.1
2022,,Araba/Álava,PT,97.5
2009,,Bizkaia,PT,88.1
2013,,Bizkaia,PT,93.3
2019,,Bizkaia,PT,97.3
2011,,Bizkaia,PT,92.8
2014,,Bizkaia,PT,93.8
2012,,Bizkaia,PT,93.1
2021,,Bizkaia,PT,96.7
2017,,Bizkaia,PT,96.3
2018,,Bizkaia,PT,95.8
2022,,Bizkaia,PT,97.5
2020,,Bizkaia,PT,96.9
2010,,Bizkaia,PT,89.8
2015,,Bizkaia,PT,95.8
2024,,Bizkaia,PT,99.5
2016,,Bizkaia,PT,96.5
2008,,Bizkaia,PT,88.5
2023,,Bizkaia,PT,99.3
2024,,Gipuzkoa,PT,98.7
2015,,Gipuzkoa,PT,96.1
2016,,Gipuzkoa,PT,94.3
2020,,Gipuzkoa,PT,96.5
2008,,Gipuzkoa,PT,86.9
2018,,Gipuzkoa,PT,95.3
2017,,Gipuzkoa,PT,95.1
2023,,Gipuzkoa,PT,99.0
2010,,Gipuzkoa,PT,89.4
2014,,Gipuzkoa,PT,93.3
2012,,Gipuzkoa,PT,91.9
2009,,Gipuzkoa,PT,88.4
2019,,Gipuzkoa,PT,96.5
2022,,Gipuzkoa,PT,97.9
2013,,Gipuzkoa,PT,93.4
2011,,Gipuzkoa,PT,90.6
2021,,Gipuzkoa,PT,97.8
2021,F,,PT,97.4
2010,F,,PT,89.0
2015,F,,PT,96.4
2020,F,,PT,97.1
2024,F,,PT,99.4
2014,F,,PT,94.2
2022,F,,PT,98.3
2016,F,,PT,95.4
2018,F,,PT,96.1
2012,F,,PT,93.0
2023,F,,PT,99.1
2011,F,,PT,92.4
2013,F,,PT,94.1
2017,F,,PT,95.9
2019,F,,PT,97.9
2009,F,,PT,87.9
2008,F,,PT,88.1
2019,F,Araba/Álava,PT,97.5
2017,F,Araba/Álava,PT,95.4
2016,F,Araba/Álava,PT,94.7
2009,F,Araba/Álava,PT,83.1
2013,F,Araba/Álava,PT,94.5
2014,F,Araba/Álava,PT,93.8
2011,F,Araba/Álava,PT,90.2
2021,F,Araba/Álava,PT,98.4
2008,F,Araba/Álava,PT,86.2
2012,F,Araba/Álava,PT,91.4
2010,F,Araba/Álava,PT,87.7
2015,F,Araba/Álava,PT,97.5
2018,F,Araba/Álava,PT,96.7
2024,F,Araba/Álava,PT,99.5
2023,F,Araba/Álava,PT,98.6
2022,F,Araba/Álava,PT,97.6
2020,F,Araba/Álava,PT,98.3
2018,F,Bizkaia,PT,95.9
2023,F,Bizkaia,PT,99.4
2022,F,Bizkaia,PT,98.5
2020,F,Bizkaia,PT,96.9
2019,F,Bizkaia,PT,97.9
2015,F,Bizkaia,PT,96.0
2017,F,Bizkaia,PT,96.1
2011,F,Bizkaia,PT,93.7
2009,F,Bizkaia,PT,88.3
2013,F,Bizkaia,PT,93.4
2010,F,Bizkaia,PT,89.0
2008,F,Bizkaia,PT,88.6
2012,F,Bizkaia,PT,93.8
2016,F,Bizkaia,PT,96.5
2024,F,Bizkaia,PT,99.2
2014,F,Bizkaia,PT,94.0
2021,F,Bizkaia,PT,97.0
2023,F,Gipuzkoa,PT,98.9
2018,F,Gipuzkoa,PT,96.1
2024,F,Gipuzkoa,PT,99.5
2021,F,Gipuzkoa,PT,97.6
2019,F,Gipuzkoa,PT,98.1
2016,F,Gipuzkoa,PT,93.9
2015,F,Gipuzkoa,PT,96.4
2014,F,Gipuzkoa,PT,94.8
2013,F,Gipuzkoa,PT,95.0
2012,F,Gipuzkoa,PT,92.6
2011,F,Gipuzkoa,PT,91.4
2010,F,Gipuzkoa,PT,89.7
2009,F,Gipuzkoa,PT,89.2
2008,F,Gipuzkoa,PT,88.1
2017,F,Gipuzkoa,PT,95.9
2022,F,Gipuzkoa,PT,98.2
2020,F,Gipuzkoa,PT,96.7
2013,M,,PT,92.5
2017,M,,PT,96.2
2012,M,,PT,91.7
2021,M,,PT,97.0
2008,M,,PT,87.4
2014,M,,PT,93.1
2010,M,,PT,89.9
2024,M,,PT,99.1
2015,M,,PT,95.7
2022,M,,PT,96.9
2018,M,,PT,95.5
2019,M,,PT,96.1
2011,M,,PT,91.0
2023,M,,PT,98.9
2009,M,,PT,87.3
2020,M,,PT,96.7
2016,M,,PT,96.2
2015,M,Araba/Álava,PT,95.8
2021,M,Araba/Álava,PT,97.0
2022,M,Araba/Álava,PT,97.3
2014,M,Araba/Álava,PT,94.3
2023,M,Araba/Álava,PT,97.6
2020,M,Araba/Álava,PT,96.7
2009,M,Araba/Álava,PT,84.7
2012,M,Araba/Álava,PT,90.7
2013,M,Araba/Álava,PT,91.6
2016,M,Araba/Álava,PT,98.4
2017,M,Araba/Álava,PT,99.0
2018,M,Araba/Álava,PT,96.8
2024,M,Araba/Álava,PT,99.5
2010,M,Araba/Álava,PT,89.0
2011,M,Araba/Álava,PT,91.1
2008,M,Araba/Álava,PT,87.5
2019,M,Araba/Álava,PT,96.9
2024,M,Bizkaia,PT,99.9
2023,M,Bizkaia,PT,99.2
2022,M,Bizkaia,PT,96.4
2021,M,Bizkaia,PT,96.3
2020,M,Bizkaia,PT,96.9
2019,M,Bizkaia,PT,96.7
2018,M,Bizkaia,PT,95.7
2017,M,Bizkaia,PT,96.6
2016,M,Bizkaia,PT,96.5
2015,M,Bizkaia,PT,95.6
2014,M,Bizkaia,PT,93.5
2013,M,Bizkaia,PT,93.1
2012,M,Bizkaia,PT,92.3
2011,M,Bizkaia,PT,91.8
2010,M,Bizkaia,PT,90.7
2009,M,Bizkaia,PT,87.9
2008,M,Bizkaia,PT,88.4
2010,M,Gipuzkoa,PT,89.1
2009,M,Gipuzkoa,PT,87.5
2008,M,Gipuzkoa,PT,85.7
2024,M,Gipuzkoa,PT,97.8
2023,M,Gipuzkoa,PT,99.0
2022,M,Gipuzkoa,PT,97.6
2021,M,Gipuzkoa,PT,98.0
2020,M,Gipuzkoa,PT,96.4
