Year,Province,Units,Type of use,Value
2018,,M3,,179965484.0
2022,,M3,,178506380.0
2023,,M3,,180064405.0
2020,,M3,,163675651.0
2013,,M3,,177555343.0
2021,,M3,,176421751.0
2017,,M3,,180334331.0
2016,,M3,,180637435.0
2019,,M3,,178194264.0
2022,Araba/Álava,M3,,34289283.3
2021,Araba/Álava,M3,,33005213.7
2023,Araba/Álava,M3,,30181664.0
2022,Bizkaia,M3,,80667418.7
2023,Bizkaia,M3,,86372241.0
2021,Bizkaia,M3,,80592250.2
2023,Gipuzkoa,M3,,63510500.0
2021,Gipuzkoa,M3,,62824287.1
2022,Gipuzkoa,M3,,63549678.2
2023,,M3,Domestic use,86895324.9
2018,,M3,Domestic use,88318278.6
2020,,M3,Domestic use,84373909.2
2022,,M3,Domestic use,92735193.3
2016,,M3,Domestic use,89191117.7
2021,,M3,Domestic use,92949522.0
2013,,M3,Domestic use,87929643.4
2017,,M3,Domestic use,88547260.4
2019,,M3,Domestic use,88407446.1
2022,Araba/Álava,M3,Domestic use,14077675.9
2023,Araba/Álava,M3,Domestic use,11989165.1
2021,Araba/Álava,M3,Domestic use,14177085.4
2021,Bizkaia,M3,Domestic use,45477855.0
2022,Bizkaia,M3,Domestic use,45514402.4
2023,Bizkaia,M3,Domestic use,43068870.3
2021,Gipuzkoa,M3,Domestic use,33294582.0
2023,Gipuzkoa,M3,Domestic use,31837289.5
2022,Gipuzkoa,M3,Domestic use,33143115.0
2017,,M3,Industrial use,66412090.1
2018,,M3,Industrial use,66232578.1
2021,,M3,Industrial use,60880414.0
2019,,M3,Industrial use,64695490.7
2023,,M3,Industrial use,61328986.0
2020,,M3,Industrial use,58454182.7
2016,,M3,Industrial use,65939730.6
2013,,M3,Industrial use,65635020.7
2022,,M3,Industrial use,60067313.1
2022,Araba/Álava,M3,Industrial use,14823181.0
2023,Araba/Álava,M3,Industrial use,13125427.2
2021,Araba/Álava,M3,Industrial use,15019725.6
2022,Bizkaia,M3,Industrial use,24288140.7
2023,Bizkaia,M3,Industrial use,25445892.7
2021,Bizkaia,M3,Industrial use,24292745.1
2023,Gipuzkoa,M3,Industrial use,22757666.1
2022,Gipuzkoa,M3,Industrial use,20955991.4
2021,Gipuzkoa,M3,Industrial use,21567942.9
2018,,M3,Commercial use,12219522.3
2022,,M3,Commercial use,11060459.6
2019,,M3,Commercial use,11666682.7
2013,,M3,Commercial use,11740415.2
2023,,M3,Commercial use,9772381.2
2021,,M3,Commercial use,10471436.0
2020,,M3,Commercial use,11253856.2
2017,,M3,Commercial use,11970086.0
2016,,M3,Commercial use,12429023.2
2023,Araba/Álava,M3,Commercial use,119019.2
2022,Araba/Álava,M3,Commercial use,315629.0
2021,Araba/Álava,M3,Commercial use,307205.5
2021,Bizkaia,M3,Commercial use,4743841.0
2022,Bizkaia,M3,Commercial use,4746266.6
2023,Bizkaia,M3,Commercial use,6283333.0
2022,Gipuzkoa,M3,Commercial use,5998564.0
2023,Gipuzkoa,M3,Commercial use,3370029.0
2021,Gipuzkoa,M3,Commercial use,5420389.0
2017,,M3,Public use,10650290.2
2019,,M3,Public use,10440779.4
2016,,M3,Public use,10427598.1
2021,,M3,Public use,9263988.0
2023,,M3,Public use,18438765.3
2020,,M3,Public use,5047360.5
2018,,M3,Public use,10356549.1
2013,,M3,Public use,10687889.9
2022,,M3,Public use,11010562.7
2022,Araba/Álava,M3,Public use,4000563.8
2023,Araba/Álava,M3,Public use,3766872.3
2021,Araba/Álava,M3,Public use,3068185.1
2023,Bizkaia,M3,Public use,9791675.0
2022,Bizkaia,M3,Public use,4162631.5
2021,Bizkaia,M3,Public use,4165676.5
2023,Gipuzkoa,M3,Public use,4880218.0
2022,Gipuzkoa,M3,Public use,2847367.4
2021,Gipuzkoa,M3,Public use,2030126.5
2023,,M3,Agricultural use,2051068.7
2021,,M3,Agricultural use,1065919.0
2016,,M3,Agricultural use,1127021.1
2018,,M3,Agricultural use,1131076.3
2017,,M3,Agricultural use,1122869.4
2013,,M3,Agricultural use,358850.4
2022,,M3,Agricultural use,1827137.7
2019,,M3,Agricultural use,1262937.4
2020,,M3,Agricultural use,2907569.7
2021,Araba/Álava,M3,Agricultural use,256133.2
2023,Araba/Álava,M3,Agricultural use,984376.7
2022,Araba/Álava,M3,Agricultural use,895748.9
2022,Bizkaia,M3,Agricultural use,704744.6
2023,Bizkaia,M3,Agricultural use,694183.4
2021,Bizkaia,M3,Agricultural use,660993.0
2022,Gipuzkoa,M3,Agricultural use,226644.3
2023,Gipuzkoa,M3,Agricultural use,372508.6
2021,Gipuzkoa,M3,Agricultural use,148793.0
2017,,M3,Other uses,1631735.3
2022,,M3,Other uses,1805713.9
2020,,M3,Other uses,1638772.1
2016,,M3,Other uses,1522943.9
2018,,M3,Other uses,1707479.9
2013,,M3,Other uses,1203523.7
2019,,M3,Other uses,1720927.5
2023,,M3,Other uses,1577879.3
2021,,M3,Other uses,1790472.0
2023,Araba/Álava,M3,Other uses,196804.0
2022,Araba/Álava,M3,Other uses,176484.9
2021,Araba/Álava,M3,Other uses,176878.9
2023,Bizkaia,M3,Other uses,1088286.9
2022,Bizkaia,M3,Other uses,1251232.9
2021,Bizkaia,M3,Other uses,1251139.6
2023,Gipuzkoa,M3,Other uses,292788.4
2022,Gipuzkoa,M3,Other uses,377996.1
2021,Gipuzkoa,M3,Other uses,362453.8
