Year,Units,Value
2010,Toneladas equivalentes de petróleo por millón de euros,107.2
2011,Toneladas equivalentes de petróleo por millón de euros,98.5
2012,Toneladas equivalentes de petróleo por millón de euros,101.4
2013,Toneladas equivalentes de petróleo por millón de euros,98.9
2014,Toneladas equivalentes de petróleo por millón de euros,94.9
2015,Toneladas equivalentes de petróleo por millón de euros,93.4
2016,Toneladas equivalentes de petróleo por millón de euros,89.8
2017,Toneladas equivalentes de petróleo por millón de euros,90.0
2018,Toneladas equivalentes de petróleo por millón de euros,87.4
2019,Toneladas equivalentes de petróleo por millón de euros,86.6
2020,Toneladas equivalentes de petróleo por millón de euros,86.3
2021,Toneladas equivalentes de petróleo por millón de euros,87.5
2022,Toneladas equivalentes de petróleo por millón de euros,85.8
