Year,Territorio,Units,Value
2019,,PC,1.9
2022,,PC,5.8
2021,,PC,6.4
2018,,PC,2.9
2023,,PC,2.2
2017,,PC,2.5
2015,,PC,2.9
2012,,PC,-2.4
2016,,PC,3.4
2011,,PC,0.0
2014,,PC,1.9
2013,,PC,-1.7
2010,,PC,0.3
2020,,PC,-10.0
2012,Araba/Álava,PC,-3.5
2013,Araba/Álava,PC,-1.3
2014,Araba/Álava,PC,2.1
2010,Araba/Álava,PC,0.0
2018,Araba/Álava,PC,1.6
2017,Araba/Álava,PC,1.7
2011,Araba/Álava,PC,0.2
2020,Araba/Álava,PC,-11.0
2021,Araba/Álava,PC,7.4
2015,Araba/Álava,PC,2.3
2019,Araba/Álava,PC,1.2
2022,Araba/Álava,PC,3.8
2016,Araba/Álava,PC,2.9
2023,Araba/Álava,PC,2.2
2013,Bizkaia,PC,-1.4
2015,Bizkaia,PC,2.8
2016,Bizkaia,PC,3.7
2017,Bizkaia,PC,2.9
2019,Bizkaia,PC,2.0
2020,Bizkaia,PC,-9.3
2021,Bizkaia,PC,6.3
2023,Bizkaia,PC,1.9
2010,Bizkaia,PC,0.4
2011,Bizkaia,PC,0.0
2012,Bizkaia,PC,-2.5
2022,Bizkaia,PC,7.1
2018,Bizkaia,PC,2.8
2014,Bizkaia,PC,2.0
2022,Gipuzkoa,PC,4.7
2023,Gipuzkoa,PC,2.6
2010,Gipuzkoa,PC,0.3
2011,Gipuzkoa,PC,-0.2
2012,Gipuzkoa,PC,-1.8
2013,Gipuzkoa,PC,-2.3
2014,Gipuzkoa,PC,1.6
2015,Gipuzkoa,PC,3.2
2016,Gipuzkoa,PC,3.2
2017,Gipuzkoa,PC,2.4
2018,Gipuzkoa,PC,3.6
2019,Gipuzkoa,PC,2.2
2020,Gipuzkoa,PC,-10.4
2021,Gipuzkoa,PC,6.1
