Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2014,,16 years and over,,,,,,%,,16.1
2021,,16 years and over,,,,,,%,,10.0
2020,,16 years and over,,,,,,%,,10.6
2011,,16 years and over,,,,,,%,,10.8
2018,,16 years and over,,,,,,%,,10.5
2017,,16 years and over,,,,,,%,,11.6
2012,,16 years and over,,,,,,%,,11.8
2023,,16 years and over,,,,,,%,,7.8
2015,,16 years and over,,,,,,%,,15.7
2022,,16 years and over,,,,,,%,,8.6
2013,,16 years and over,,,,,,%,,15.1
2019,,16 years and over,,,,,,%,,9.8
2024,,16 years and over,,,,,,%,,7.4
2016,,16 years and over,,,,,,%,,13.8
2010,,16 years and over,,,,,,%,,9.2
2021,,16 years and over,,,,,Abadiño,%,Abadiño,10.7
2019,,16 years and over,,,,,Abadiño,%,Abadiño,9.1
2020,,16 years and over,,,,,Abadiño,%,Abadiño,8.7
2022,,16 years and over,,,,,Abadiño,%,Abadiño,8.5
2018,,16 years and over,,,,,Abadiño,%,Abadiño,9.7
2023,,16 years and over,,,,,Abadiño,%,Abadiño,7.8
2010,,16 years and over,,,,,Abadiño,%,Abadiño,9.2
2016,,16 years and over,,,,,Abadiño,%,Abadiño,12.0
2015,,16 years and over,,,,,Abadiño,%,Abadiño,13.9
2021,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,3.0
2016,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,7.5
2023,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,5.2
2020,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,2.9
2018,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,10.1
2019,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,5.0
2015,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,6.6
2022,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,3.0
2010,,16 years and over,,,,,Abaltzisketa,%,Abaltzisketa,7.1
2023,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,9.8
2020,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,13.0
2016,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,18.7
2015,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,17.8
2018,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.1
2022,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,12.3
2010,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,9.8
2019,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,12.5
2021,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.3
2016,,16 years and over,,,,,Aduna,%,Aduna,8.5
2015,,16 years and over,,,,,Aduna,%,Aduna,11.4
2019,,16 years and over,,,,,Aduna,%,Aduna,2.8
2020,,16 years and over,,,,,Aduna,%,Aduna,3.6
2023,,16 years and over,,,,,Aduna,%,Aduna,1.8
2010,,16 years and over,,,,,Aduna,%,Aduna,5.4
2022,,16 years and over,,,,,Aduna,%,Aduna,2.0
2021,,16 years and over,,,,,Aduna,%,Aduna,1.2
2018,,16 years and over,,,,,Aduna,%,Aduna,4.0
2015,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,18.6
2016,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,16.6
2023,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,10.3
2018,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.5
2019,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,13.1
2021,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.9
2010,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,10.4
2022,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,11.4
2020,,16 years and over,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.7
2016,,16 years and over,,,,,Aia,%,Aia,10.2
2018,,16 years and over,,,,,Aia,%,Aia,8.3
2019,,16 years and over,,,,,Aia,%,Aia,6.5
2015,,16 years and over,,,,,Aia,%,Aia,11.2
