Year,Series,Sex,Age,Province,Units,Value
2010,"Proportion of youth not in education, employment, or training",,15-24 years,,%,10.9
2018,"Proportion of youth not in education, employment, or training",,15-24 years,,%,8.7
2020,"Proportion of youth not in education, employment, or training",,15-24 years,,%,8.5
2016,"Proportion of youth not in education, employment, or training",,15-24 years,,%,9.2
2022,"Proportion of youth not in education, employment, or training",,15-24 years,,%,8.6
2017,"Proportion of youth not in education, employment, or training",,15-24 years,,%,9.4
2015,"Proportion of youth not in education, employment, or training",,15-24 years,,%,8.2
2019,"Proportion of youth not in education, employment, or training",,15-24 years,,%,8.0
2011,"Proportion of youth not in education, employment, or training",,15-24 years,,%,10.9
2013,"Proportion of youth not in education, employment, or training",,15-24 years,,%,13.2
2014,"Proportion of youth not in education, employment, or training",,15-24 years,,%,9.9
2012,"Proportion of youth not in education, employment, or training",,15-24 years,,%,11.6
2023,"Proportion of youth not in education, employment, or training",,15-24 years,,%,7.9
2021,"Proportion of youth not in education, employment, or training",,15-24 years,,%,7.9
2015,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,8.2
2022,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,8.6
2017,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,12.0
2010,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,12.7
2020,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,9.5
2021,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,7.6
2016,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,8.5
2013,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,13.6
2012,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,13.0
2014,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,9.4
2011,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,12.6
2019,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,9.1
2018,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,8.7
2023,"Proportion of youth not in education, employment, or training",,15-24 years,Araba/Álava,%,8.9
2018,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,9.4
2013,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,13.4
2014,"Proportion of youth not in education, employment, or training",,15-24 years,Bizkaia,%,10.7
