Year,Series,Units,_NAME_,Value
2017,EU_EXP_EMP,EUR_1000000,2017,363.0
2020,EU_EXP_EMP,EUR_1000000,2020,424.0
2016,EU_EXP_EMP,EUR_1000000,2016,333.6
2014,EU_EXP_EMP,EUR_1000000,2014,319.8
2012,EU_EXP_EMP,EUR_1000000,2012,527.1
2021,EU_EXP_EMP,EUR_1000000,2021,405.3
2018,EU_EXP_EMP,EUR_1000000,2018,358.1
2010,EU_EXP_EMP,EUR_1000000,2010,94.6
2013,EU_EXP_EMP,EUR_1000000,2013,321.7
2011,EU_EXP_EMP,EUR_1000000,2011,399.9
2019,EU_EXP_EMP,EUR_1000000,2019,408.7
2015,EU_EXP_EMP,EUR_1000000,2015,341.3
2010,EU_EXP_EMPGDP,PT,2010,0.9
2011,EU_EXP_EMPGDP,PT,2011,4.0
2012,EU_EXP_EMPGDP,PT,2012,5.2
2013,EU_EXP_EMPGDP,PT,2013,3.4
2015,EU_EXP_EMPGDP,PT,2015,3.4
2016,EU_EXP_EMPGDP,PT,2016,3.2
2020,EU_EXP_EMPGDP,PT,2020,3.6
2014,EU_EXP_EMPGDP,PT,2014,3.2
2017,EU_EXP_EMPGDP,PT,2017,3.4
2018,EU_EXP_EMPGDP,PT,2018,3.1
2019,EU_EXP_EMPGDP,PT,2019,3.4
2021,EU_EXP_EMPGDP,PT,2021,3.2
