Year,Series,Economic activity,Units,Value
2019,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,33.4
2020,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,34.6
2018,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.7
2012,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.8
2013,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.1
2022,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,30.2
2021,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.3
2014,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,31.8
2023,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,33.4
2010,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,31.7
2011,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.7
2016,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.7
2017,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.7
2015,Proportion of value added by medium- and high-tech industries in total value added,Manufacturing,%,32.2
