Year,Value,Units,Series,GeoCode
2020,54.7,Porcentaje,Superficie forestal en proporción a la superficie total,
2021,54.8,Porcentaje,Superficie forestal en proporción a la superficie total,
2022,54.8,Porcentaje,Superficie forestal en proporción a la superficie total,
2019,54.5,Porcentaje,Superficie forestal en proporción a la superficie total,
2010,54.9,Porcentaje,Superficie forestal en proporción a la superficie total,
2018,54.2,Porcentaje,Superficie forestal en proporción a la superficie total,
2016,54.9,Porcentaje,Superficie forestal en proporción a la superficie total,
2019,42.1,Porcentaje,Superficie forestal pública,
2022,42.1,Porcentaje,Superficie forestal pública,
2016,41.7,Porcentaje,Superficie forestal pública,
2018,42.1,Porcentaje,Superficie forestal pública,
2021,41.9,Porcentaje,Superficie forestal pública,
2020,42.0,Porcentaje,Superficie forestal pública,
