Year,Value,Units,Series
2014,27.73,Porcentaje,AG_LND_FOVH
2015,30.21,Porcentaje,AG_LND_FOVH
2016,20.46,Porcentaje,AG_LND_FOVH
2017,24.62,Porcentaje,AG_LND_FOVH
2018,23.52,Porcentaje,AG_LND_FOVH
2019,28.37,Porcentaje,AG_LND_FOVH
2020,18.38,Porcentaje,AG_LND_FOVH
2021,16.8,Porcentaje,AG_LND_FOVH
2022,16.86,Porcentaje,AG_LND_FOVH
2016,98.77,Porcentaje,AG_LND_NFI
2017,97.65,Porcentaje,AG_LND_NFI
2018,99.13,Porcentaje,AG_LND_NFI
2019,99.91,Porcentaje,AG_LND_NFI
2020,99.83,Porcentaje,AG_LND_NFI
2021,99.39,Porcentaje,AG_LND_NFI
2022,97.79,Porcentaje,AG_LND_NFI
2022,100.0,Índice,EU_AG_LND_AGRWAG
2023,100.15,Índice,EU_AG_LND_AGRWAG
