Year,Value,Units,Series,GeoCode
2014,1.3,%,Proportion of the farming area under organic farming,
2010,0.8,%,Proportion of the farming area under organic farming,
2021,3.5,%,Proportion of the farming area under organic farming,
2018,2.0,%,Proportion of the farming area under organic farming,
2019,2.5,%,Proportion of the farming area under organic farming,
2013,1.2,%,Proportion of the farming area under organic farming,
2012,1.1,%,Proportion of the farming area under organic farming,
2023,4.8,%,Proportion of the farming area under organic farming,
2016,1.5,%,Proportion of the farming area under organic farming,
2009,0.7,%,Proportion of the farming area under organic farming,
2011,0.9,%,Proportion of the farming area under organic farming,
2020,3.0,%,Proportion of the farming area under organic farming,
2015,1.3,%,Proportion of the farming area under organic farming,
2022,4.1,%,Proportion of the farming area under organic farming,
2017,1.9,%,Proportion of the farming area under organic farming,
2008,0.6,%,Proportion of the farming area under organic farming,
