Year,Value,Units,Series,GeoCode
2022,2003.3,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2017,1710.0,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2013,1682.2,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2012,1668.2,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2011,1655.6,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2014,1687.6,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2020,1898.1,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2021,1996.4,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2016,1706.5,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2019,1752.5,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2018,1732.0,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2010,1655.3,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
2015,1703.3,Watts per cápita,Capacidad de generación de electricidad renovable instalada (vatios per cápita),
