Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2022,Residuos peligrosos generados per cápita,,,Kg per cápita,157.5
2018,Residuos peligrosos generados per cápita,,,Kg per cápita,149.3
2019,Residuos peligrosos generados per cápita,,,Kg per cápita,150.1
2012,Residuos peligrosos generados per cápita,,,Kg per cápita,137.2
2013,Residuos peligrosos generados per cápita,,,Kg per cápita,130.7
2014,Residuos peligrosos generados per cápita,,,Kg per cápita,148.8
2021,Residuos peligrosos generados per cápita,,,Kg per cápita,150.7
2010,Residuos peligrosos generados per cápita,,,Kg per cápita,162.9
2011,Residuos peligrosos generados per cápita,,,Kg per cápita,150.9
2016,Residuos peligrosos generados per cápita,,,Kg per cápita,148.0
2017,Residuos peligrosos generados per cápita,,,Kg per cápita,145.3
2020,Residuos peligrosos generados per cápita,,,Kg per cápita,144.9
2015,Residuos peligrosos generados per cápita,,,Kg per cápita,150.9
2011,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,164.5
2014,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,164.3
2015,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,160.7
2012,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,137.0
2019,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,203.5
2013,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,129.3
2018,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,196.3
2021,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,177.9
2020,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,187.3
2017,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,159.4
2016,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,160.9
2022,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,200.8
2010,Residuos peligrosos generados per cápita,,Araba/Álava,Kg per cápita,141.1
2018,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,171.0
2020,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,157.3
2015,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,184.4
2014,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,183.2
2013,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,160.0
2012,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,166.6
2021,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,165.1
2017,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,176.8
2016,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,180.3
2011,Residuos peligrosos generados per cápita,,Bizkaia,Kg per cápita,178.5
