Year,Series,Units,Value
2020,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,98696.0
2021,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,101165.0
2015,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,78208.0
2012,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,70847.0
2019,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,95091.0
2018,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,92935.0
2017,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,91153.0
2011,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,70847.0
2013,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,71709.0
2016,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,85839.0
2014,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,78025.0
2022,Superficie forestal con instrumentos de gestión sostenible vigentes,Hectáreas,105878.0
2015,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,15.9
2014,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,15.87
2011,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,14.28
2018,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,18.9
2012,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,14.41
2019,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,19.34
2021,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,20.7
2013,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,14.58
2022,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,21.6
2020,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,20.07
2017,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,18.54
2016,Proporción de la superficie forestal con instrumentos de gestión sostenible vigentes,%,17.45
