Year,Edad,Sexo,Units,Value
2018,18 años y más,,Porcentaje,12.8
2013,18 años y más,,Porcentaje,14.5
2017,18 años y más,,Porcentaje,13.8
2011,18 años y más,,Porcentaje,15.3
2014,18 años y más,,Porcentaje,13.0
2023,18 años y más,,Porcentaje,14.0
2019,18 años y más,,Porcentaje,13.5
2014,18 años y más,Mujer,Porcentaje,11.9
2011,18 años y más,Mujer,Porcentaje,15.3
2013,18 años y más,Mujer,Porcentaje,13.8
2019,18 años y más,Mujer,Porcentaje,13.5
2023,18 años y más,Mujer,Porcentaje,13.5
2017,18 años y más,Mujer,Porcentaje,13.5
2018,18 años y más,Mujer,Porcentaje,11.7
2013,18 años y más,Hombre,Porcentaje,15.2
2011,18 años y más,Hombre,Porcentaje,15.2
2018,18 años y más,Hombre,Porcentaje,14.0
2019,18 años y más,Hombre,Porcentaje,13.5
2017,18 años y más,Hombre,Porcentaje,14.2
2023,18 años y más,Hombre,Porcentaje,14.6
2014,18 años y más,Hombre,Porcentaje,14.2
2013,2-17 años,,Porcentaje,35.6
2023,2-17 años,,Porcentaje,36.1
2018,2-17 años,,Porcentaje,33.4
2023,2-17 años,Mujer,Porcentaje,34.3
2013,2-17 años,Mujer,Porcentaje,36.4
2018,2-17 años,Mujer,Porcentaje,30.3
2018,2-17 años,Hombre,Porcentaje,34.1
2023,2-17 años,Hombre,Porcentaje,37.7
2013,2-17 años,Hombre,Porcentaje,35.0
