Year,Sexo,Territorio,Units,Value
2010,Mujer,,Por 100.000 nacidos vivos,4.73
2013,Mujer,,Por 100.000 nacidos vivos,0.0
2018,Mujer,,Por 100.000 nacidos vivos,6.22
2016,Mujer,,Por 100.000 nacidos vivos,10.96
2023,Mujer,,Por 100.000 nacidos vivos,7.43
2019,Mujer,,Por 100.000 nacidos vivos,6.49
2014,Mujer,,Por 100.000 nacidos vivos,0.0
2022,Mujer,,Por 100.000 nacidos vivos,7.33
2012,Mujer,,Por 100.000 nacidos vivos,0.0
2021,Mujer,,Por 100.000 nacidos vivos,0.0
2011,Mujer,,Por 100.000 nacidos vivos,0.0
2017,Mujer,,Por 100.000 nacidos vivos,0.0
2015,Mujer,,Por 100.000 nacidos vivos,0.0
2020,Mujer,,Por 100.000 nacidos vivos,6.78
2023,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2021,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2017,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2020,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2015,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2014,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2013,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2012,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2022,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2016,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2011,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2010,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2019,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2018,Mujer,Araba/Álava,Por 100.000 nacidos vivos,0.0
2020,Mujer,Bizkaia,Por 100.000 nacidos vivos,13.66
2022,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2021,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2011,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2010,Mujer,Bizkaia,Por 100.000 nacidos vivos,9.44
2015,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2012,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2013,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2019,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2016,Mujer,Bizkaia,Por 100.000 nacidos vivos,21.86
2018,Mujer,Bizkaia,Por 100.000 nacidos vivos,12.59
2014,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2017,Mujer,Bizkaia,Por 100.000 nacidos vivos,0.0
2023,Mujer,Bizkaia,Por 100.000 nacidos vivos,14.99
2010,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2013,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2012,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2014,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2017,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2011,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2016,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2018,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2023,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2021,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2020,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2022,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,22.18
2015,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,0.0
2019,Mujer,Gipuzkoa,Por 100.000 nacidos vivos,19.48
