Year,Sexo,Edad,Units,Value
2014,,18-24 años,Porcentaje,7.5
2010,,18-24 años,Porcentaje,10.8
2015,,18-24 años,Porcentaje,10.2
2013,,18-24 años,Porcentaje,8.5
2018,,18-24 años,Porcentaje,11.3
2011,,18-24 años,Porcentaje,9.0
2016,,18-24 años,Porcentaje,9.8
2012,,18-24 años,Porcentaje,7.8
2019,,18-24 años,Porcentaje,8.8
2017,,18-24 años,Porcentaje,9.5
2016,Mujer,18-24 años,Porcentaje,10.0
2019,Mujer,18-24 años,Porcentaje,8.0
2010,Mujer,18-24 años,Porcentaje,8.9
2018,Mujer,18-24 años,Porcentaje,9.7
2017,Mujer,18-24 años,Porcentaje,8.7
2011,Mujer,18-24 años,Porcentaje,9.3
2014,Mujer,18-24 años,Porcentaje,6.8
2012,Mujer,18-24 años,Porcentaje,7.2
2015,Mujer,18-24 años,Porcentaje,7.3
2013,Mujer,18-24 años,Porcentaje,8.2
2012,Hombre,18-24 años,Porcentaje,8.2
2013,Hombre,18-24 años,Porcentaje,8.8
2017,Hombre,18-24 años,Porcentaje,10.3
2010,Hombre,18-24 años,Porcentaje,12.5
2019,Hombre,18-24 años,Porcentaje,9.6
2014,Hombre,18-24 años,Porcentaje,8.2
2018,Hombre,18-24 años,Porcentaje,12.8
2015,Hombre,18-24 años,Porcentaje,13.0
2011,Hombre,18-24 años,Porcentaje,8.7
2016,Hombre,18-24 años,Porcentaje,9.6
