Year,Sexo,Habilidad_IT,Edad,Territorio,Units,Value
2019,_T,ICTCPT,Y16T74,,Porcentaje,55.36
2019,_T,ICTPST,Y16T74,,Porcentaje,42.23
2019,_T,ICTSSHT,Y16T74,,Porcentaje,41.92
2019,_T,ICTPRGM,Y16T74,,Porcentaje,5.56
2019,_T,ICTTRFF,Y16T74,,Porcentaje,51.89
2019,_T,ICTSFWR,Y16T74,,Porcentaje,53.92
2019,_T,ICTPRVCY,Y16T74,,Porcentaje,15.99
2019,_T,ICT_TOT,Y16T74,,Porcentaje,67.04
2019,_T,ICTCPT,Y16T74,Araba/Álava,Porcentaje,55.76
2019,_T,ICTPST,Y16T74,Araba/Álava,Porcentaje,41.77
2019,_T,ICTSSHT,Y16T74,Araba/Álava,Porcentaje,42.89
2019,_T,ICTPRGM,Y16T74,Araba/Álava,Porcentaje,5.27
2019,_T,ICTTRFF,Y16T74,Araba/Álava,Porcentaje,51.64
2019,_T,ICTSFWR,Y16T74,Araba/Álava,Porcentaje,54.49
2019,_T,ICTPRVCY,Y16T74,Araba/Álava,Porcentaje,16.17
2019,_T,ICT_TOT,Y16T74,Araba/Álava,Porcentaje,68.53
2019,_T,ICTCPT,Y16T74,Gipuzkoa,Porcentaje,54.5
2019,_T,ICTPST,Y16T74,Gipuzkoa,Porcentaje,42.21
2019,_T,ICTSSHT,Y16T74,Gipuzkoa,Porcentaje,42.77
2019,_T,ICTPRGM,Y16T74,Gipuzkoa,Porcentaje,5.24
2019,_T,ICTTRFF,Y16T74,Gipuzkoa,Porcentaje,50.59
2019,_T,ICTSFWR,Y16T74,Gipuzkoa,Porcentaje,51.65
2019,_T,ICTPRVCY,Y16T74,Gipuzkoa,Porcentaje,14.73
2019,_T,ICT_TOT,Y16T74,Gipuzkoa,Porcentaje,65.24
2019,_T,ICTCPT,Y16T74,Bizkaia,Porcentaje,55.79
2019,_T,ICTPST,Y16T74,Bizkaia,Porcentaje,42.38
2019,_T,ICTSSHT,Y16T74,Bizkaia,Porcentaje,41.11
2019,_T,ICTPRGM,Y16T74,Bizkaia,Porcentaje,5.83
2019,_T,ICTTRFF,Y16T74,Bizkaia,Porcentaje,52.78
2019,_T,ICTSFWR,Y16T74,Bizkaia,Porcentaje,55.18
2019,_T,ICTPRVCY,Y16T74,Bizkaia,Porcentaje,16.73
2019,_T,ICT_TOT,Y16T74,Bizkaia,Porcentaje,67.74
2019,_T,ICTCPT,Y16T24,,Porcentaje,89.41
2019,_T,ICTPST,Y16T24,,Porcentaje,85.32
2019,_T,ICTSSHT,Y16T24,,Porcentaje,70.08
2019,_T,ICTPRGM,Y16T24,,Porcentaje,12.34
2019,_T,ICTTRFF,Y16T24,,Porcentaje,84.87
2019,_T,ICTSFWR,Y16T24,,Porcentaje,83.37
2019,_T,ICTPRVCY,Y16T24,,Porcentaje,26.84
2019,_T,ICT_TOT,Y16T24,,Porcentaje,95.75
2019,_T,ICTCPT,Y16T24,Araba/Álava,Porcentaje,91.07
2019,_T,ICTPST,Y16T24,Araba/Álava,Porcentaje,89.2
2019,_T,ICTSSHT,Y16T24,Araba/Álava,Porcentaje,70.0
2019,_T,ICTPRGM,Y16T24,Araba/Álava,Porcentaje,10.56
2019,_T,ICTTRFF,Y16T24,Araba/Álava,Porcentaje,84.7
2019,_T,ICTSFWR,Y16T24,Araba/Álava,Porcentaje,82.82
2019,_T,ICTPRVCY,Y16T24,Araba/Álava,Porcentaje,24.81
2019,_T,ICT_TOT,Y16T24,Araba/Álava,Porcentaje,95.61
2019,_T,ICTCPT,Y16T24,Gipuzkoa,Porcentaje,87.91
2019,_T,ICTPST,Y16T24,Gipuzkoa,Porcentaje,79.9
2019,_T,ICTSSHT,Y16T24,Gipuzkoa,Porcentaje,71.5
2019,_T,ICTPRGM,Y16T24,Gipuzkoa,Porcentaje,10.54
