Year,Territorio histórico,Units,Value
2016,,Metros cúbicos,180637435.0
2020,,Metros cúbicos,163675651.0
2021,,Metros cúbicos,176421751.0
2022,,Metros cúbicos,178506380.0
2013,,Metros cúbicos,177555343.0
2023,,Metros cúbicos,180064405.0
2019,,Metros cúbicos,178194264.0
2017,,Metros cúbicos,180334331.0
2018,,Metros cúbicos,179965484.0
2021,Araba/Álava,Metros cúbicos,33005213.7
2022,Araba/Álava,Metros cúbicos,34289283.3
2023,Araba/Álava,Metros cúbicos,30181664.0
2022,Bizkaia,Metros cúbicos,80667418.7
2023,Bizkaia,Metros cúbicos,86372241.0
2021,Bizkaia,Metros cúbicos,80592250.2
2021,Gipuzkoa,Metros cúbicos,62824287.1
2022,Gipuzkoa,Metros cúbicos,63549678.2
2023,Gipuzkoa,Metros cúbicos,63510500.0
