Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2011,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,0.0
2020,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,-9.7
2022,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,5.3
2021,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,6.3
2018,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,2.8
2019,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,1.8
2016,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,3.2
2014,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,1.8
2013,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,-1.6
2012,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,-2.0
2017,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,2.6
2010,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,0.5
2015,Tasa de crecimiento anual del PIB real per cápita,,,,Euros constantes,,3.0
2022,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,3.9
2019,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,1.1
2010,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,0.4
2011,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,0.1
2017,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,1.6
2018,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,1.5
2013,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,-1.4
2012,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,-2.6
2014,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,1.8
2020,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,-10.7
2021,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,5.9
2016,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,2.8
2015,Tasa de crecimiento anual del PIB real per cápita,Araba/Álava,,,Euros constantes,Araba/Álava,2.6
2012,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,-1.7
2020,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,-10.1
2010,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,0.3
2021,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,6.3
2011,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,-0.1
2013,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,-2.1
2019,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,2.2
2017,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,2.6
2022,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,4.2
2015,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,3.3
2014,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,1.5
2016,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,3.1
2018,Tasa de crecimiento anual del PIB real per cápita,Bizkaia,,,Euros constantes,Bizkaia,3.4
2010,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,0.6
2012,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,-2.1
2017,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,2.9
2014,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,1.8
2021,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,6.5
2020,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,-9.2
2011,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,0.1
2015,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,3.0
2018,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,2.8
2019,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,1.8
2013,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,-1.1
2016,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,3.6
2022,Tasa de crecimiento anual del PIB real per cápita,Gipuzkoa,,,Euros constantes,Gipuzkoa,6.5
2017,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,3.2
2015,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,3.2
2020,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,-9.8
2022,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,10.5
2019,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,3.0
2021,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,9.0
2016,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,3.9
2018,Tasa de crecimiento anual del PIB nominal per cápita,,,,Euros,,4.0
2018,Tasa de crecimiento anual del PIB nominal per cápita,,,Abadiño,Euros,Abadiño,0.3
2019,Tasa de crecimiento anual del PIB nominal per cápita,,,Abadiño,Euros,Abadiño,2.3
2015,Tasa de crecimiento anual del PIB nominal per cápita,,,Abadiño,Euros,Abadiño,7.2
2021,Tasa de crecimiento anual del PIB nominal per cápita,,,Abadiño,Euros,Abadiño,28.1
2016,Tasa de crecimiento anual del PIB nominal per cápita,,,Abadiño,Euros,Abadiño,5.6
2020,Tasa de crecimiento anual del PIB nominal per cápita,,,Abadiño,Euros,Abadiño,-14.5
2017,Tasa de crecimiento anual del PIB nominal per cápita,,,Abadiño,Euros,Abadiño,-0.4
2016,Tasa de crecimiento anual del PIB nominal per cápita,,,Abaltzisketa,Euros,Abaltzisketa,6.1
2021,Tasa de crecimiento anual del PIB nominal per cápita,,,Abaltzisketa,Euros,Abaltzisketa,-7.5
2019,Tasa de crecimiento anual del PIB nominal per cápita,,,Abaltzisketa,Euros,Abaltzisketa,8.9
2015,Tasa de crecimiento anual del PIB nominal per cápita,,,Abaltzisketa,Euros,Abaltzisketa,-7.7
2017,Tasa de crecimiento anual del PIB nominal per cápita,,,Abaltzisketa,Euros,Abaltzisketa,23.0
2020,Tasa de crecimiento anual del PIB nominal per cápita,,,Abaltzisketa,Euros,Abaltzisketa,-11.8
2018,Tasa de crecimiento anual del PIB nominal per cápita,,,Abaltzisketa,Euros,Abaltzisketa,4.0
2015,Tasa de crecimiento anual del PIB nominal per cápita,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,3.0
2017,Tasa de crecimiento anual del PIB nominal per cápita,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,5.1
2021,Tasa de crecimiento anual del PIB nominal per cápita,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,5.6
2018,Tasa de crecimiento anual del PIB nominal per cápita,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,4.6
2016,Tasa de crecimiento anual del PIB nominal per cápita,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,3.2
2020,Tasa de crecimiento anual del PIB nominal per cápita,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,-7.6
2019,Tasa de crecimiento anual del PIB nominal per cápita,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,7.2
2018,Tasa de crecimiento anual del PIB nominal per cápita,,,Aduna,Euros,Aduna,10.2
2019,Tasa de crecimiento anual del PIB nominal per cápita,,,Aduna,Euros,Aduna,8.0
2015,Tasa de crecimiento anual del PIB nominal per cápita,,,Aduna,Euros,Aduna,1.6
2016,Tasa de crecimiento anual del PIB nominal per cápita,,,Aduna,Euros,Aduna,-0.9
2017,Tasa de crecimiento anual del PIB nominal per cápita,,,Aduna,Euros,Aduna,11.4
2020,Tasa de crecimiento anual del PIB nominal per cápita,,,Aduna,Euros,Aduna,11.0
2021,Tasa de crecimiento anual del PIB nominal per cápita,,,Aduna,Euros,Aduna,14.4
2017,Tasa de crecimiento anual del PIB nominal per cápita,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,8.3
2021,Tasa de crecimiento anual del PIB nominal per cápita,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,17.5
2020,Tasa de crecimiento anual del PIB nominal per cápita,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,-9.8
2018,Tasa de crecimiento anual del PIB nominal per cápita,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,7.3
2019,Tasa de crecimiento anual del PIB nominal per cápita,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,0.1
2015,Tasa de crecimiento anual del PIB nominal per cápita,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,2.9
2016,Tasa de crecimiento anual del PIB nominal per cápita,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,2.4
2015,Tasa de crecimiento anual del PIB nominal per cápita,,,Aia,Euros,Aia,-0.9
2021,Tasa de crecimiento anual del PIB nominal per cápita,,,Aia,Euros,Aia,7.5
2016,Tasa de crecimiento anual del PIB nominal per cápita,,,Aia,Euros,Aia,10.8
2020,Tasa de crecimiento anual del PIB nominal per cápita,,,Aia,Euros,Aia,-8.9
2019,Tasa de crecimiento anual del PIB nominal per cápita,,,Aia,Euros,Aia,5.9
2017,Tasa de crecimiento anual del PIB nominal per cápita,,,Aia,Euros,Aia,0.7
