Year,Series,Tipo de valor,Territorio,Units,Value
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.6
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.6
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.5
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,19.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.8
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,19.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,19.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,17.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,,Porcentaje,18.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,24.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,25.1
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,25.2
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,24.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,26.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,26.3
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,25.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,26.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,26.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,25.9
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,25.0
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,25.7
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,Porcentaje,26.0
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.7
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,13.4
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,13.0
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,13.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.4
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,13.9
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,13.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,Porcentaje,14.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.5
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.0
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.2
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,21.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.6
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,23.1
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,Porcentaje,22.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aulesti,Porcentaje,6.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Azpeitia,Porcentaje,31.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lantarón,Porcentaje,70.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Plentzia-Mungia,Porcentaje,19.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Abaltzisketa,Porcentaje,0.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Baliarrain,Porcentaje,2.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orexa,Porcentaje,15.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ugao-Miraballes,Porcentaje,21.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Legazpi,Porcentaje,49.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Laguardia,Porcentaje,43.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Laguardia,Porcentaje,44.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arantzazu,Porcentaje,25.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arantzazu,Porcentaje,22.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leioa,Porcentaje,11.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zalduondo,Porcentaje,0.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Yécora/Iekora,Porcentaje,7.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arrigorriaga,Porcentaje,25.0
