Year,Series,Territorio,Units,Value
2014,"3,5G",,Porcentaje,99.4
2013,"3,5G",,Porcentaje,99.5
2017,"3,5G",,Porcentaje,100.0
2016,"3,5G",,Porcentaje,99.9
2019,"3,5G",,Porcentaje,100.0
2018,"3,5G",,Porcentaje,100.0
2012,"3,5G",,Porcentaje,96.6
2015,"3,5G",,Porcentaje,99.9
2020,"3,5G",,Porcentaje,100.0
2017,"3,5G",1.0,Porcentaje,99.9
2018,"3,5G",1.0,Porcentaje,99.9
2016,"3,5G",1.0,Porcentaje,99.8
2014,"3,5G",1.0,Porcentaje,98.7
2020,"3,5G",1.0,Porcentaje,100.0
2015,"3,5G",1.0,Porcentaje,99.8
2019,"3,5G",1.0,Porcentaje,99.9
2014,"3,5G",48.0,Porcentaje,99.8
2016,"3,5G",48.0,Porcentaje,99.9
2017,"3,5G",48.0,Porcentaje,100.0
2018,"3,5G",48.0,Porcentaje,100.0
2015,"3,5G",48.0,Porcentaje,100.0
2020,"3,5G",48.0,Porcentaje,100.0
2019,"3,5G",48.0,Porcentaje,100.0
2017,"3,5G",20.0,Porcentaje,99.9
2015,"3,5G",20.0,Porcentaje,99.8
2016,"3,5G",20.0,Porcentaje,99.8
2020,"3,5G",20.0,Porcentaje,100.0
2018,"3,5G",20.0,Porcentaje,100.0
2014,"3,5G",20.0,Porcentaje,99.0
2019,"3,5G",20.0,Porcentaje,100.0
2014,4G,,Porcentaje,93.5
2012,4G,,Porcentaje,55.1
2020,4G,,Porcentaje,100.0
2017,4G,,Porcentaje,100.0
2018,4G,,Porcentaje,100.0
2015,4G,,Porcentaje,99.0
2019,4G,,Porcentaje,100.0
2013,4G,,Porcentaje,79.6
2016,4G,,Porcentaje,99.9
2014,4G,1.0,Porcentaje,90.0
2012,4G,1.0,Porcentaje,76.0
2015,4G,1.0,Porcentaje,97.9
2020,4G,1.0,Porcentaje,100.0
2018,4G,1.0,Porcentaje,100.0
2019,4G,1.0,Porcentaje,100.0
2016,4G,1.0,Porcentaje,99.7
2013,4G,1.0,Porcentaje,79.5
2017,4G,1.0,Porcentaje,99.7
2017,4G,48.0,Porcentaje,100.0
2016,4G,48.0,Porcentaje,100.0
2015,4G,48.0,Porcentaje,99.5
2014,4G,48.0,Porcentaje,95.4
2013,4G,48.0,Porcentaje,85.3
2012,4G,48.0,Porcentaje,68.5
2018,4G,48.0,Porcentaje,100.0
2019,4G,48.0,Porcentaje,100.0
2020,4G,48.0,Porcentaje,100.0
2020,4G,20.0,Porcentaje,100.0
2012,4G,20.0,Porcentaje,23.7
2019,4G,20.0,Porcentaje,100.0
2018,4G,20.0,Porcentaje,100.0
2016,4G,20.0,Porcentaje,99.9
2017,4G,20.0,Porcentaje,99.9
2015,4G,20.0,Porcentaje,98.7
2014,4G,20.0,Porcentaje,92.0
2013,4G,20.0,Porcentaje,70.6
