Year,Actividad económica,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2021,AGRI_ECO,,,,Porcentaje,,10.1
2010,AGRI_ECO,,,,Porcentaje,,3.1
2018,AGRI_ECO,,,,Porcentaje,,6.0
2020,AGRI_ECO,,,,Porcentaje,,7.2
2011,AGRI_ECO,,,,Porcentaje,,3.9
2013,AGRI_ECO,,,,Porcentaje,,4.1
2016,AGRI_ECO,,,,Porcentaje,,5.4
2022,AGRI_ECO,,,,Porcentaje,,9.9
2014,AGRI_ECO,,,,Porcentaje,,4.6
2019,AGRI_ECO,,,,Porcentaje,,6.5
2012,AGRI_ECO,,,,Porcentaje,,3.7
2017,AGRI_ECO,,,,Porcentaje,,5.7
2015,AGRI_ECO,,,,Porcentaje,,5.6
2022,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,10.0
2016,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,4.8
2012,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,7.1
2019,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,7.1
2021,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,10.0
2010,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,7.1
2018,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,7.1
2011,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,9.5
2013,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,7.1
2014,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,9.5
2020,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,10.0
2017,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,4.8
2015,AGRI_ECO,,,Abadiño,Porcentaje,Abadiño,9.5
2022,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2020,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,12.5
2015,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2016,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2012,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.1
2017,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2018,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2021,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2013,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.1
2019,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2010,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.1
2011,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.1
2014,AGRI_ECO,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
