Year,Series,Units,Value
2012,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,26.19
2014,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,27.16
2015,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,27.26
2016,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,27.01
2017,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,26.84
2018,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,27.15
2019,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,27.7
2020,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,27.43
2021,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,26.96
2022,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Porcentaje,26.65
