Year,Comunidad Autónoma,Units,Value
2010,Principado de Asturias,Porcentaje,14.8
2011,Principado de Asturias,Porcentaje,19.6
2012,Principado de Asturias,Porcentaje,20.7
2013,Principado de Asturias,Porcentaje,20.5
2014,Principado de Asturias,Porcentaje,21.3
2015,Principado de Asturias,Porcentaje,20.9
2016,Principado de Asturias,Porcentaje,21.1
2017,Principado de Asturias,Porcentaje,16.6
2018,Principado de Asturias,Porcentaje,17.42
2019,Principado de Asturias,Porcentaje,24.12
2020,Principado de Asturias,Porcentaje,22.09
2021,Principado de Asturias,Porcentaje,23.5
2022,Principado de Asturias,Porcentaje,21.02
2023,Principado de Asturias,Porcentaje,21.93
2017,Cantabria,Porcentaje,17.0
2008,C.A. de Euskadi,Porcentaje,14.79
2012,C.A. de Euskadi,Porcentaje,15.38
2014,C.A. de Euskadi,Porcentaje,18.52
2016,C.A. de Euskadi,Porcentaje,16.37
2018,C.A. de Euskadi,Porcentaje,17.71
2020,C.A. de Euskadi,Porcentaje,17.77
2022,C.A. de Euskadi,Porcentaje,16.48
2014,Comunidad Foral de Navarra,Porcentaje,22.34
2015,Comunidad Foral de Navarra,Porcentaje,24.21
2016,Comunidad Foral de Navarra,Porcentaje,23.15
2017,Comunidad Foral de Navarra,Porcentaje,22.61
2018,Comunidad Foral de Navarra,Porcentaje,21.71
2019,Comunidad Foral de Navarra,Porcentaje,21.31
2020,Comunidad Foral de Navarra,Porcentaje,21.93
2021,Comunidad Foral de Navarra,Porcentaje,22.31
2022,Comunidad Foral de Navarra,Porcentaje,21.7
2023,Comunidad Foral de Navarra,Porcentaje,21.82
2010,Aragón,Porcentaje,26.68
2011,Aragón,Porcentaje,28.16
2012,Aragón,Porcentaje,31.75
2013,Aragón,Porcentaje,21.73
2014,Aragón,Porcentaje,23.21
2015,Aragón,Porcentaje,20.58
2016,Aragón,Porcentaje,21.81
2017,Aragón,Porcentaje,19.14
2018,Aragón,Porcentaje,17.35
2019,Aragón,Porcentaje,20.68
2020,Aragón,Porcentaje,18.96
2021,Aragón,Porcentaje,21.05
2010,Aragón,Porcentaje,26.68
2011,Aragón,Porcentaje,28.16
2012,Aragón,Porcentaje,31.75
2013,Aragón,Porcentaje,21.73
2014,Aragón,Porcentaje,23.21
2015,Aragón,Porcentaje,20.58
2016,Aragón,Porcentaje,22.56
2017,Aragón,Porcentaje,17.02
2018,Aragón,Porcentaje,17.51
2019,Aragón,Porcentaje,20.78
2020,Aragón,Porcentaje,18.76
2021,Aragón,Porcentaje,19.3
2022,Aragón,Porcentaje,21.39
2010,Comunidad de Madrid,Porcentaje,20.4
2011,Comunidad de Madrid,Porcentaje,21.4
2012,Comunidad de Madrid,Porcentaje,21.3
2013,Comunidad de Madrid,Porcentaje,21.9
2014,Comunidad de Madrid,Porcentaje,22.2
2015,Comunidad de Madrid,Porcentaje,21.3
2016,Comunidad de Madrid,Porcentaje,24.0
2017,Comunidad de Madrid,Porcentaje,23.2
2018,Comunidad de Madrid,Porcentaje,20.9
2019,Comunidad de Madrid,Porcentaje,21.88
2020,Comunidad de Madrid,Porcentaje,19.08
2021,Comunidad de Madrid,Porcentaje,21.63
2010,Castilla y León,Porcentaje,19.54
2011,Castilla y León,Porcentaje,19.07
2012,Castilla y León,Porcentaje,18.42
2013,Castilla y León,Porcentaje,19.08
2014,Castilla y León,Porcentaje,21.63
2015,Castilla y León,Porcentaje,19.27
2016,Castilla y León,Porcentaje,18.33
2017,Castilla y León,Porcentaje,19.62
2018,Castilla y León,Porcentaje,18.4
2019,Castilla y León,Porcentaje,14.5
2020,Castilla y León,Porcentaje,16.08
2021,Castilla y León,Porcentaje,20.05
2022,Castilla y León,Porcentaje,18.8
2023,Castilla y León,Porcentaje,18.67
2010,Extremadura,Porcentaje,16.21
2011,Extremadura,Porcentaje,15.63
2012,Extremadura,Porcentaje,17.09
2013,Extremadura,Porcentaje,16.96
2014,Extremadura,Porcentaje,19.37
2015,Extremadura,Porcentaje,17.15
2016,Extremadura,Porcentaje,16.89
2017,Extremadura,Porcentaje,16.5
2018,Extremadura,Porcentaje,13.69
2019,Extremadura,Porcentaje,14.9
2020,Extremadura,Porcentaje,15.91
2021,Extremadura,Porcentaje,16.42
