Year,Serie,Units,Value
2016,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,12.2
2017,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,10.8
2018,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,10.4
2019,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,10.0
2020,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,6.0
2021,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,7.3
2022,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,9.3
2023,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,10.5
2024,Pernoctaciones de turistas por habitante,OVERNIGHT_STAY,11.0
2016,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,9.3
2017,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,8.5
2018,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,8.0
2019,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,7.4
2020,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,3.6
2021,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,4.7
2022,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,7.6
2023,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,8.7
2024,Pernoctaciones de turistas no residentes por habitante,OVERNIGHT_STAY,8.9
2016,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,33.7
2017,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,30.7
2018,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,31.2
2019,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,27.8
2020,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,36.8
2021,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,40.6
2022,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,27.9
2023,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,28.6
2024,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas,%,28.0
2016,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,32.1
2017,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,30.5
2018,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,30.6
2019,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,27.4
2020,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,40.0
2021,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,40.9
2022,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,29.8
2023,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,26.6
2024,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes,%,27.1
