Year,Dimensión de la pobreza,Units,Value
2022,,Porcentaje,19.5
2018,,Porcentaje,20.7
2012,,Porcentaje,19.9
2014,,Porcentaje,22.7
2008,,Porcentaje,17.9
2016,,Porcentaje,20.6
2020,,Porcentaje,19.9
2012,Riesgo de pobreza (monetaria),Porcentaje,15.4
2016,Riesgo de pobreza (monetaria),Porcentaje,16.4
2008,Riesgo de pobreza (monetaria),Porcentaje,14.8
2022,Riesgo de pobreza (monetaria),Porcentaje,16.5
2020,Riesgo de pobreza (monetaria),Porcentaje,17.8
2018,Riesgo de pobreza (monetaria),Porcentaje,17.7
2014,Riesgo de pobreza (monetaria),Porcentaje,18.5
2022,Carencia material y social severa,Porcentaje,4.7
2008,Carencia material y social severa,Porcentaje,2.7
2012,Carencia material y social severa,Porcentaje,5.8
2014,Carencia material y social severa,Porcentaje,5.2
2016,Carencia material y social severa,Porcentaje,6.4
2018,Carencia material y social severa,Porcentaje,5.6
2020,Carencia material y social severa,Porcentaje,4.1
2012,Baja intensidad de trabajo,Porcentaje,9.9
2014,Baja intensidad de trabajo,Porcentaje,12.0
2016,Baja intensidad de trabajo,Porcentaje,10.2
2018,Baja intensidad de trabajo,Porcentaje,9.1
2020,Baja intensidad de trabajo,Porcentaje,7.6
2022,Baja intensidad de trabajo,Porcentaje,7.8
2008,Baja intensidad de trabajo,Porcentaje,5.6
