Year,Serie,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2010,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,6.5
2011,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,6.2
2012,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,8.4
2013,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,10.3
2014,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,11.9
2015,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.7
2016,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,13.3
2017,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.9
2018,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.9
2019,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.8
2020,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,13.8
2021,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,13.9
2022,AES,,TIT,,,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,12.6
2010,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,8.4
2011,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,5.4
2012,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,7.7
2013,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,8.6
2014,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,9.2
2015,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,10.0
2016,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,12.6
2017,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,8.8
2018,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.3
2019,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,15.4
2020,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.4
2021,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.1
2022,AES,,TIT,,,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,13.6
2010,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,8.2
2011,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,4.6
2012,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,5.0
2013,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2014,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2015,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2016,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,6.2
2017,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,7.4
2018,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,9.1
2019,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,9.7
2020,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,10.7
2021,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,11.3
2022,AES,,TIT,,,,,Amurrio,Por 1.000 habitantes,Amurrio,10.7
2010,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,6.6
2011,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2012,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.0
2013,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2014,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,1.3
2015,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2016,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2017,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2018,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,2.6
2019,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.0
2020,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.0
2021,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.1
2022,AES,,TIT,,,,,Aramaio,Por 1.000 habitantes,Aramaio,4.8
2010,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,11.9
2011,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,5.4
2012,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,8.6
2013,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,4.9
2014,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,3.8
2015,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,5.4
2016,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,8.0
2017,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,7.3
2018,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,10.9
2019,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,10.4
2020,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,12.2
2021,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,15.0
2022,AES,,TIT,,,,,Artziniega,Por 1.000 habitantes,Artziniega,11.7
2010,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2011,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2012,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2013,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2014,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2015,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,8.9
2016,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,4.5
2017,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,4.6
2018,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2019,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2020,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2021,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2022,AES,,TIT,,,,,Armiñón,Por 1.000 habitantes,Armiñón,4.4
2010,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,8.4
2011,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,5.0
2012,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2013,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2014,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2015,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,3.9
2016,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,4.9
2017,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2018,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2019,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2020,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.0
2021,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,2.8
2022,AES,,TIT,,,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,1.9
2010,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,18.3
2011,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,9.4
2012,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,4.7
2013,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,10.8
2014,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,7.9
2015,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,15.8
2016,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,16.0
2017,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,14.7
2018,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,19.7
2019,AES,,TIT,,,,,Asparrena,Por 1.000 habitantes,Asparrena,19.2
