Year,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2010,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,9.4
2011,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,7.3
2012,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,7.1
2013,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,5.6
2014,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,3.9
2015,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,1.5
2016,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,1.3
2017,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,1.3
2018,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,1.2
2019,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,0.4
2020,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,0.5
2021,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,0.3
2022,Araba/Álava,,,Por 1.000 habitantes,Araba/Álava,0.7
2010,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2011,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2012,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2013,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2014,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2015,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2016,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2017,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2018,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2019,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2020,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2021,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2022,,,Alegría-Dulantzi,Por 1.000 habitantes,Alegría-Dulantzi,0.0
2010,,,Amurrio,Por 1.000 habitantes,Amurrio,5.0
2011,,,Amurrio,Por 1.000 habitantes,Amurrio,5.0
2012,,,Amurrio,Por 1.000 habitantes,Amurrio,5.0
2013,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2014,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2015,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2016,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2017,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2018,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2019,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2020,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2021,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2022,,,Amurrio,Por 1.000 habitantes,Amurrio,0.0
2010,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2011,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2012,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2013,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2014,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2015,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2016,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2017,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2018,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2019,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2020,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2021,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2022,,,Aramaio,Por 1.000 habitantes,Aramaio,0.0
2010,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2011,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2012,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2013,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2014,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2015,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2016,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2017,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2018,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2019,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2020,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2021,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2022,,,Artziniega,Por 1.000 habitantes,Artziniega,0.0
2010,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2011,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2012,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2013,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2014,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2015,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2016,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2017,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2018,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2019,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2020,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2021,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2022,,,Armiñón,Por 1.000 habitantes,Armiñón,0.0
2010,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2011,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2012,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2013,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2014,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2015,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2016,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2017,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2018,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2019,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2020,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2021,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2022,,,Arratzua-Ubarrundia,Por 1.000 habitantes,Arratzua-Ubarrundia,0.0
2010,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2011,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2012,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2013,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2014,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2015,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2016,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2017,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2018,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2019,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2020,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2021,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2022,,,Asparrena,Por 1.000 habitantes,Asparrena,0.0
2010,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.7
2011,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2012,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2013,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2014,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2015,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2016,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2017,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2018,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2019,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2020,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2021,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2022,,Añana (comarca),,Por 1.000 habitantes,Añana (comarca),0.0
2010,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
2011,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
2012,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
2013,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
2014,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
2015,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
2016,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
2017,,,Ayala/Aiara,Por 1.000 habitantes,Ayala/Aiara,0.0
