Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2017,Residuos urbanos recogidos per cápita,,,Kg per cápita,520.5
2012,Residuos urbanos recogidos per cápita,,,Kg per cápita,501.2
2015,Residuos urbanos recogidos per cápita,,,Kg per cápita,501.5
2014,Residuos urbanos recogidos per cápita,,,Kg per cápita,510.8
2020,Residuos urbanos recogidos per cápita,,,Kg per cápita,492.5
2018,Residuos urbanos recogidos per cápita,,,Kg per cápita,535.5
2016,Residuos urbanos recogidos per cápita,,,Kg per cápita,514.3
2013,Residuos urbanos recogidos per cápita,,,Kg per cápita,498.0
2019,Residuos urbanos recogidos per cápita,,,Kg per cápita,513.4
2011,Residuos urbanos recogidos per cápita,,,Kg per cápita,463.2
2021,Residuos urbanos recogidos per cápita,,,Kg per cápita,515.6
2022,Residuos urbanos recogidos per cápita,,,Kg per cápita,503.5
2010,Residuos urbanos recogidos per cápita,,,Kg per cápita,491.5
2017,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,433.4
2018,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,469.2
2011,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,441.5
2016,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,419.3
2013,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,399.0
2021,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,420.5
2015,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,422.5
2020,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,424.7
2019,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,428.5
2022,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,412.5
2010,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,463.9
2014,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,408.8
2012,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,423.5
2021,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,566.1
2012,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,535.2
2017,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,558.2
2018,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,562.7
2019,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,566.5
2010,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,504.0
2014,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,521.5
2020,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,544.0
2022,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,560.6
2013,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,524.0
2011,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,470.9
2015,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,504.4
2016,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,527.7
2022,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,454.8
2017,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,500.5
2015,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,532.7
2016,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,535.5
2019,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,468.7
2013,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,499.0
2012,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,481.0
2018,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,522.7
2011,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,460.4
2014,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,539.1
2020,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,443.2
2010,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,483.5
2021,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,479.3
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
