Year,Series,Ecosistema,Units,Value
2018,EU_SDG_15_20_KM2,LC_GRS,Kilómetros cuadrados,432.1
2015,EU_SDG_15_20_PT,LC_WL,Porcentaje,70.4
2015,EU_SDG_15_20_KM2,LC_ART,Kilómetros cuadrados,14.8
2018,EU_SDG_15_20_PT,LC_OL,Porcentaje,70.6
2018,EU_SDG_15_20_KM2,LC_TRE,Kilómetros cuadrados,1147.4
2015,EU_SDG_15_20_PT,LC_GRS,Porcentaje,24.0
2021,EU_SDG_15_20_PT,LC_GRS,Porcentaje,24.2
2015,EU_SDG_15_20_KM2,,Kilómetros cuadrados,1698.7
2015,EU_SDG_15_20_PT,LC_OL,Porcentaje,70.5
2018,EU_SDG_15_20_PT,LC_CRP,Porcentaje,4.1
2021,EU_SDG_15_20_KM2,LC_OL,Kilómetros cuadrados,45.9
2015,EU_SDG_15_20_KM2,LC_TRE,Kilómetros cuadrados,1138.9
2018,EU_SDG_15_20_KM2,LC_CRP,Kilómetros cuadrados,35.9
2021,EU_SDG_15_20_KM2,LC_WL,Kilómetros cuadrados,37.8
2015,EU_SDG_15_20_PT,LC_ART,Porcentaje,3.2
2021,EU_SDG_15_20_PT,LC_WL,Porcentaje,70.9
2021,EU_SDG_15_20_KM2,LC_ART,Kilómetros cuadrados,14.8
2015,EU_SDG_15_20_KM2,LC_GRS,Kilómetros cuadrados,429.0
2018,EU_SDG_15_20_KM2,,Kilómetros cuadrados,1713.6
2018,EU_SDG_15_20_KM2,LC_OL,Kilómetros cuadrados,45.9
2015,EU_SDG_15_20_PT,LC_CRP,Porcentaje,3.7
2015,EU_SDG_15_20_KM2,LC_OL,Kilómetros cuadrados,46.0
2021,EU_SDG_15_20_PT,LC_ART,Porcentaje,3.2
2021,EU_SDG_15_20_PT,LC_OL,Porcentaje,70.6
2021,EU_SDG_15_20_PT,LC_CRP,Porcentaje,4.1
2015,EU_SDG_15_20_PT,LC_TRE,Porcentaje,28.7
2018,EU_SDG_15_20_PT,LC_TRE,Porcentaje,28.9
2015,EU_SDG_15_20_KM2,LC_CRP,Kilómetros cuadrados,32.5
2021,EU_SDG_15_20_KM2,LC_TRE,Kilómetros cuadrados,1147.5
2018,EU_SDG_15_20_KM2,LC_ART,Kilómetros cuadrados,14.8
2018,EU_SDG_15_20_KM2,LC_WL,Kilómetros cuadrados,37.6
2021,EU_SDG_15_20_KM2,LC_GRS,Kilómetros cuadrados,432.2
2015,EU_SDG_15_20_KM2,LC_WL,Kilómetros cuadrados,37.5
2018,EU_SDG_15_20_PT,,Porcentaje,23.7
2018,EU_SDG_15_20_PT,LC_WL,Porcentaje,70.6
2018,EU_SDG_15_20_PT,LC_GRS,Porcentaje,24.2
2021,EU_SDG_15_20_KM2,,Kilómetros cuadrados,1714.1
2015,EU_SDG_15_20_PT,,Porcentaje,23.5
2021,EU_SDG_15_20_PT,,Porcentaje,23.7
2018,EU_SDG_15_20_PT,LC_ART,Porcentaje,3.2
2021,EU_SDG_15_20_KM2,LC_CRP,Kilómetros cuadrados,35.9
2021,EU_SDG_15_20_PT,LC_TRE,Porcentaje,28.9
