Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Desaggregation,Value
2014,,,,Porcentaje,,All,1.3
2010,,,,Porcentaje,,All,0.8
2021,,,,Porcentaje,,All,3.5
2018,,,,Porcentaje,,All,2.0
2019,,,,Porcentaje,,All,2.5
2013,,,,Porcentaje,,All,1.2
2012,,,,Porcentaje,,All,1.1
2023,,,,Porcentaje,,All,4.8
2016,,,,Porcentaje,,All,1.5
2009,,,,Porcentaje,,All,0.7
2011,,,,Porcentaje,,All,0.9
2020,,,,Porcentaje,,All,3.0
2015,,,,Porcentaje,,All,1.3
2022,,,,Porcentaje,,All,4.1
2017,,,,Porcentaje,,All,1.9
2008,,,,Porcentaje,,All,0.6
2012,,,Abadiño,Porcentaje,Abadiño,All,0.5
2017,,,Abadiño,Porcentaje,Abadiño,All,0.3
2013,,,Abadiño,Porcentaje,Abadiño,All,0.5
2011,,,Abadiño,Porcentaje,Abadiño,All,0.5
2019,,,Abadiño,Porcentaje,Abadiño,All,3.8
2014,,,Abadiño,Porcentaje,Abadiño,All,0.5
2010,,,Abadiño,Porcentaje,Abadiño,All,0.3
2022,,,Abadiño,Porcentaje,Abadiño,All,5.5
2020,,,Abadiño,Porcentaje,Abadiño,All,5.3
2016,,,Abadiño,Porcentaje,Abadiño,All,0.3
2015,,,Abadiño,Porcentaje,Abadiño,All,0.5
2018,,,Abadiño,Porcentaje,Abadiño,All,0.3
2023,,,Abadiño,Porcentaje,Abadiño,All,5.6
2021,,,Abadiño,Porcentaje,Abadiño,All,5.6
2018,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,1.0
2023,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,2.2
2015,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,0.0
2021,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,2.2
2016,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,0.0
2012,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,1.1
2022,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,2.2
2010,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,1.1
2014,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,0.0
2017,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,0.0
2020,,,Abaltzisketa,Porcentaje,Abaltzisketa,All,0.8
