Year,Series,Producto,Territorio,Units,Value
2017,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,1.3
2018,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,1.5
2021,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,1.8
2023,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,11.1
2011,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,2.1
2019,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,0.9
2012,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,2.7
2016,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,1.6
2015,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,1.4
2013,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,3.0
2022,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,11.4
2020,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,2.8
2010,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,-0.7
2014,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,,Porcentaje,-0.6
2012,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,2.5
2020,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,3.0
2023,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,10.6
2016,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,1.4
2014,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,-0.5
2021,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,2.3
2015,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,1.8
2017,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,1.4
2022,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,10.9
2018,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,1.5
2013,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,2.9
2011,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,2.1
2019,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,1.1
2010,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Araba/Álava,Porcentaje,0.1
2012,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,2.7
2014,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,-0.7
2016,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,1.7
2022,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,11.7
2023,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,11.3
2010,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,-0.8
2020,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,3.0
2021,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,1.7
2017,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,1.5
2019,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,0.8
2015,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,1.1
2011,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,2.4
2018,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,1.2
2013,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Bizkaia,Porcentaje,3.1
2012,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,2.8
2020,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,2.3
2023,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,11.0
