Year,Series,Nivel educativo,Edad,Units,Value
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,95.5
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,94.9
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,99.4
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,94.7
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,98.1
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,97.0
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,95.2
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,18-20 años,Porcentaje,96.0
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,79.1
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,80.9
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,82.7
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,81.5
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,82.9
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,79.4
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,77.9
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,20-22 años,Porcentaje,84.7
