Year,Sexo,Territorio histórico,Units,Value
2018,,,%,100.0
2011,,,%,100.3
2021,,,%,99.1
2015,,,%,99.6
2019,,,%,99.8
2020,,,%,99.8
2017,,,%,99.8
2010,,,%,100.1
2012,,,%,99.7
2023,,,%,101.0
2022,,,%,99.6
2024,,,%,99.4
2016,,,%,100.0
2014,,,%,99.3
2013,,,%,99.8
2022,,Araba/Álava,%,98.6
2020,,Araba/Álava,%,99.5
2023,,Araba/Álava,%,99.9
2021,,Araba/Álava,%,99.0
2024,,Araba/Álava,%,98.4
2023,,Bizkaia,%,101.4
2022,,Bizkaia,%,100.1
2021,,Bizkaia,%,99.4
2024,,Bizkaia,%,100.0
2020,,Bizkaia,%,100.5
2024,,Gipuzkoa,%,98.9
2023,,Gipuzkoa,%,101.0
2021,,Gipuzkoa,%,98.6
2020,,Gipuzkoa,%,98.9
2022,,Gipuzkoa,%,99.5
2012,Mujer,,%,98.5
2015,Mujer,,%,99.5
2016,Mujer,,%,99.7
2010,Mujer,,%,99.7
2020,Mujer,,%,100.0
2024,Mujer,,%,99.1
2023,Mujer,,%,100.7
2011,Mujer,,%,100.0
2018,Mujer,,%,99.9
2022,Mujer,,%,98.9
2014,Mujer,,%,98.9
2017,Mujer,,%,99.8
2013,Mujer,,%,99.6
2019,Mujer,,%,99.9
2021,Mujer,,%,98.6
2024,Mujer,Araba/Álava,%,98.5
2023,Mujer,Araba/Álava,%,99.0
2022,Mujer,Araba/Álava,%,98.8
2021,Mujer,Araba/Álava,%,98.6
2020,Mujer,Araba/Álava,%,100.0
2022,Mujer,Bizkaia,%,99.0
2023,Mujer,Bizkaia,%,101.3
2021,Mujer,Bizkaia,%,99.0
2020,Mujer,Bizkaia,%,100.8
2024,Mujer,Bizkaia,%,99.5
2024,Mujer,Gipuzkoa,%,98.8
2023,Mujer,Gipuzkoa,%,100.8
2021,Mujer,Gipuzkoa,%,98.0
2022,Mujer,Gipuzkoa,%,98.8
2020,Mujer,Gipuzkoa,%,98.8
2012,Hombre,,%,100.7
2022,Hombre,,%,100.4
2024,Hombre,,%,99.6
2023,Hombre,,%,101.3
2014,Hombre,,%,99.7
2015,Hombre,,%,99.6
2010,Hombre,,%,100.6
2016,Hombre,,%,100.4
2013,Hombre,,%,100.0
2017,Hombre,,%,99.8
2018,Hombre,,%,100.2
2011,Hombre,,%,100.6
2019,Hombre,,%,99.8
2021,Hombre,,%,99.5
2020,Hombre,,%,99.6
2022,Hombre,Araba/Álava,%,98.4
2024,Hombre,Araba/Álava,%,98.3
2021,Hombre,Araba/Álava,%,99.4
2020,Hombre,Araba/Álava,%,99.0
2023,Hombre,Araba/Álava,%,100.7
2023,Hombre,Bizkaia,%,101.5
2022,Hombre,Bizkaia,%,101.1
2021,Hombre,Bizkaia,%,99.8
2020,Hombre,Bizkaia,%,100.1
2024,Hombre,Bizkaia,%,100.5
2023,Hombre,Gipuzkoa,%,101.3
2022,Hombre,Gipuzkoa,%,100.2
2021,Hombre,Gipuzkoa,%,99.2
2020,Hombre,Gipuzkoa,%,99.0
2024,Hombre,Gipuzkoa,%,99.0
