Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2018,,,,Por 10.000,,3.8
2019,,,,Por 10.000,,3.1
2021,,,,Por 10.000,,4.6
2020,,,,Por 10.000,,4.0
2020,,,Abadiño,Por 10.000,Abadiño,5.2
2019,,,Abadiño,Por 10.000,Abadiño,0.0
2018,,,Abadiño,Por 10.000,Abadiño,5.2
2019,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2018,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2020,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2020,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,0.0
2018,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,2.1
2019,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,0.0
2019,,,Aduna,Por 10.000,Aduna,0.0
2018,,,Aduna,Por 10.000,Aduna,0.0
2020,,,Aduna,Por 10.000,Aduna,0.0
2020,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,3.9
2018,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,0.0
2019,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,0.0
2018,,,Aia,Por 10.000,Aia,0.0
2020,,,Aia,Por 10.000,Aia,0.0
2019,,,Aia,Por 10.000,Aia,10.5
2020,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2018,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2019,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2020,,,Ajangiz,Por 10.000,Ajangiz,0.0
2018,,,Ajangiz,Por 10.000,Ajangiz,0.0
2019,,,Ajangiz,Por 10.000,Ajangiz,0.0
2018,,,Albiztur,Por 10.000,Albiztur,0.0
2020,,,Albiztur,Por 10.000,Albiztur,0.0
2019,,,Albiztur,Por 10.000,Albiztur,0.0
2020,,,Alegia,Por 10.000,Alegia,0.0
2019,,,Alegia,Por 10.000,Alegia,0.0
2018,,,Alegia,Por 10.000,Alegia,0.0
2020,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,13.1
2018,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,0.0
2019,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,0.0
2018,,,Alkiza,Por 10.000,Alkiza,0.0
2019,,,Alkiza,Por 10.000,Alkiza,0.0
2020,,,Alkiza,Por 10.000,Alkiza,0.0
2020,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2018,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2019,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2020,,,Altzaga,Por 10.000,Altzaga,0.0
2018,,,Altzaga,Por 10.000,Altzaga,0.0
2019,,,Altzaga,Por 10.000,Altzaga,0.0
2020,,,Altzo,Por 10.000,Altzo,0.0
2018,,,Altzo,Por 10.000,Altzo,0.0
2019,,,Altzo,Por 10.000,Altzo,0.0
2020,,,Amezketa,Por 10.000,Amezketa,0.0
2019,,,Amezketa,Por 10.000,Amezketa,0.0
2018,,,Amezketa,Por 10.000,Amezketa,22.9
2020,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,1.0
2019,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,0.0
2018,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,3.1
2018,,,Amoroto,Por 10.000,Amoroto,0.0
2019,,,Amoroto,Por 10.000,Amoroto,0.0
2020,,,Amoroto,Por 10.000,Amoroto,0.0
2020,,,Amurrio,Por 10.000,Amurrio,3.8
2018,,,Amurrio,Por 10.000,Amurrio,0.0
2019,,,Amurrio,Por 10.000,Amurrio,0.0
2018,,,Andoain,Por 10.000,Andoain,0.0
2020,,,Andoain,Por 10.000,Andoain,0.0
2019,,,Andoain,Por 10.000,Andoain,0.0
2019,,,Anoeta,Por 10.000,Anoeta,0.0
2018,,,Anoeta,Por 10.000,Anoeta,0.0
2020,,,Anoeta,Por 10.000,Anoeta,0.0
2019,,,Antzuola,Por 10.000,Antzuola,0.0
2018,,,Antzuola,Por 10.000,Antzuola,0.0
2020,,,Antzuola,Por 10.000,Antzuola,0.0
2019,,,Añana,Por 10.000,Añana,0.0
2020,,,Añana,Por 10.000,Añana,0.0
2018,,,Añana,Por 10.000,Añana,0.0
2018,,,Arakaldo,Por 10.000,Arakaldo,0.0
2020,,,Arakaldo,Por 10.000,Arakaldo,0.0
2019,,,Arakaldo,Por 10.000,Arakaldo,0.0
2020,,,Arama,Por 10.000,Arama,0.0
2019,,,Arama,Por 10.000,Arama,0.0
2018,,,Arama,Por 10.000,Arama,0.0
2020,,,Aramaio,Por 10.000,Aramaio,0.0
2018,,,Aramaio,Por 10.000,Aramaio,13.9
2019,,,Aramaio,Por 10.000,Aramaio,0.0
2019,,,Arantzazu,Por 10.000,Arantzazu,0.0
2020,,,Arantzazu,Por 10.000,Arantzazu,0.0
2018,,,Arantzazu,Por 10.000,Arantzazu,0.0
2020,,,Areatza,Por 10.000,Areatza,0.0
2018,,,Areatza,Por 10.000,Areatza,0.0
2019,,,Areatza,Por 10.000,Areatza,0.0
2018,,,Aretxabaleta,Por 10.000,Aretxabaleta,0.0
2019,,,Aretxabaleta,Por 10.000,Aretxabaleta,2.8
2020,,,Aretxabaleta,Por 10.000,Aretxabaleta,0.0
2020,,,Armiñón,Por 10.000,Armiñón,0.0
2019,,,Armiñón,Por 10.000,Armiñón,0.0
2018,,,Armiñón,Por 10.000,Armiñón,0.0
2020,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2019,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2018,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2020,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2019,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2018,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,19.6
2020,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,11.8
2018,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,2.7
2019,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,0.9
2019,,,Arratzu,Por 10.000,Arratzu,0.0
2018,,,Arratzu,Por 10.000,Arratzu,0.0
2020,,,Arratzu,Por 10.000,Arratzu,0.0
2018,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,0.0
2019,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,21.0
2020,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,20.2
2019,,,Arrieta,Por 10.000,Arrieta,0.0
2018,,,Arrieta,Por 10.000,Arrieta,0.0
2020,,,Arrieta,Por 10.000,Arrieta,0.0
2020,,,Arrigorriaga,Por 10.000,Arrigorriaga,4.9
2018,,,Arrigorriaga,Por 10.000,Arrigorriaga,3.3
2019,,,Arrigorriaga,Por 10.000,Arrigorriaga,3.2
2019,,,Artea,Por 10.000,Artea,0.0
2018,,,Artea,Por 10.000,Artea,0.0
2020,,,Artea,Por 10.000,Artea,0.0
2018,,,Artzentales,Por 10.000,Artzentales,0.0
2020,,,Artzentales,Por 10.000,Artzentales,0.0
2019,,,Artzentales,Por 10.000,Artzentales,0.0
2018,,,Artziniega,Por 10.000,Artziniega,10.4
2020,,,Artziniega,Por 10.000,Artziniega,0.0
2019,,,Artziniega,Por 10.000,Artziniega,0.0
2019,,,Asparrena,Por 10.000,Asparrena,24.6
2018,,,Asparrena,Por 10.000,Asparrena,0.0
2020,,,Asparrena,Por 10.000,Asparrena,0.0
2020,,,Asteasu,Por 10.000,Asteasu,0.0
2018,,,Asteasu,Por 10.000,Asteasu,0.0
2019,,,Asteasu,Por 10.000,Asteasu,0.0
2019,,,Astigarraga,Por 10.000,Astigarraga,0.0
2018,,,Astigarraga,Por 10.000,Astigarraga,3.1
2020,,,Astigarraga,Por 10.000,Astigarraga,0.0
2019,,,Ataun,Por 10.000,Ataun,0.0
2020,,,Ataun,Por 10.000,Ataun,0.0
2018,,,Ataun,Por 10.000,Ataun,0.0
2019,,,Atxondo,Por 10.000,Atxondo,0.0
2018,,,Atxondo,Por 10.000,Atxondo,0.0
2020,,,Atxondo,Por 10.000,Atxondo,0.0
2019,,,Aulesti,Por 10.000,Aulesti,0.0
2018,,,Aulesti,Por 10.000,Aulesti,0.0
2020,,,Aulesti,Por 10.000,Aulesti,0.0
2018,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,6.9
2019,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,6.9
2020,,,Ayala/Aiara,Por 10.000,Ayala/Aiara,0.0
2019,,,Azkoitia,Por 10.000,Azkoitia,0.0
2018,,,Azkoitia,Por 10.000,Azkoitia,1.7
2020,,,Azkoitia,Por 10.000,Azkoitia,1.7
2020,,,Azpeitia,Por 10.000,Azpeitia,0.0
2019,,,Azpeitia,Por 10.000,Azpeitia,0.0
2018,,,Azpeitia,Por 10.000,Azpeitia,8.0
2019,,,Bakio,Por 10.000,Bakio,0.0
2018,,,Bakio,Por 10.000,Bakio,0.0
2020,,,Bakio,Por 10.000,Bakio,14.3
2019,,,Baliarrain,Por 10.000,Baliarrain,0.0
2018,,,Baliarrain,Por 10.000,Baliarrain,0.0
2020,,,Baliarrain,Por 10.000,Baliarrain,0.0
2018,,,Balmaseda,Por 10.000,Balmaseda,0.0
2019,,,Balmaseda,Por 10.000,Balmaseda,5.0
2020,,,Balmaseda,Por 10.000,Balmaseda,7.5
2018,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2020,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2019,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2020,,,Barakaldo,Por 10.000,Barakaldo,5.9
2019,,,Barakaldo,Por 10.000,Barakaldo,2.5
2018,,,Barakaldo,Por 10.000,Barakaldo,4.1
2020,,,Barrika,Por 10.000,Barrika,0.0
2019,,,Barrika,Por 10.000,Barrika,0.0
2018,,,Barrika,Por 10.000,Barrika,0.0
2020,,,Barrundia,Por 10.000,Barrundia,0.0
2018,,,Barrundia,Por 10.000,Barrundia,0.0
2019,,,Barrundia,Por 10.000,Barrundia,0.0
2020,,,Basauri,Por 10.000,Basauri,3.8
2018,,,Basauri,Por 10.000,Basauri,3.8
2019,,,Basauri,Por 10.000,Basauri,2.4
2018,,,Beasain,Por 10.000,Beasain,7.3
2020,,,Beasain,Por 10.000,Beasain,1.5
2019,,,Beasain,Por 10.000,Beasain,2.9
2018,,,Bedia,Por 10.000,Bedia,0.0
2020,,,Bedia,Por 10.000,Bedia,0.0
2019,,,Bedia,Por 10.000,Bedia,0.0
2019,,,Beizama,Por 10.000,Beizama,0.0
2020,,,Beizama,Por 10.000,Beizama,0.0
2018,,,Beizama,Por 10.000,Beizama,0.0
2018,,,Belauntza,Por 10.000,Belauntza,0.0
2019,,,Belauntza,Por 10.000,Belauntza,0.0
