Year,Territorio histórico,Units,Tipo de uso,Value
2018,,M3,,179965484.0
2022,,M3,,178506380.0
2023,,M3,,180064405.0
2020,,M3,,163675651.0
2013,,M3,,177555343.0
2021,,M3,,176421751.0
2017,,M3,,180334331.0
2016,,M3,,180637435.0
2019,,M3,,178194264.0
2022,Araba/Álava,M3,,34289283.3
2021,Araba/Álava,M3,,33005213.7
2023,Araba/Álava,M3,,30181664.0
2022,Bizkaia,M3,,80667418.7
2023,Bizkaia,M3,,86372241.0
2021,Bizkaia,M3,,80592250.2
2023,Gipuzkoa,M3,,63510500.0
2021,Gipuzkoa,M3,,62824287.1
2022,Gipuzkoa,M3,,63549678.2
2023,,M3,Uso doméstico,86895324.9
2018,,M3,Uso doméstico,88318278.6
2020,,M3,Uso doméstico,84373909.2
2022,,M3,Uso doméstico,92735193.3
2016,,M3,Uso doméstico,89191117.7
2021,,M3,Uso doméstico,92949522.0
2013,,M3,Uso doméstico,87929643.4
2017,,M3,Uso doméstico,88547260.4
2019,,M3,Uso doméstico,88407446.1
2022,Araba/Álava,M3,Uso doméstico,14077675.9
2023,Araba/Álava,M3,Uso doméstico,11989165.1
2021,Araba/Álava,M3,Uso doméstico,14177085.4
2021,Bizkaia,M3,Uso doméstico,45477855.0
2022,Bizkaia,M3,Uso doméstico,45514402.4
2023,Bizkaia,M3,Uso doméstico,43068870.3
2021,Gipuzkoa,M3,Uso doméstico,33294582.0
2023,Gipuzkoa,M3,Uso doméstico,31837289.5
2022,Gipuzkoa,M3,Uso doméstico,33143115.0
2017,,M3,Uso industrial,66412090.1
2018,,M3,Uso industrial,66232578.1
2021,,M3,Uso industrial,60880414.0
2019,,M3,Uso industrial,64695490.7
2023,,M3,Uso industrial,61328986.0
2020,,M3,Uso industrial,58454182.7
2016,,M3,Uso industrial,65939730.6
2013,,M3,Uso industrial,65635020.7
2022,,M3,Uso industrial,60067313.1
2022,Araba/Álava,M3,Uso industrial,14823181.0
2023,Araba/Álava,M3,Uso industrial,13125427.2
2021,Araba/Álava,M3,Uso industrial,15019725.6
2022,Bizkaia,M3,Uso industrial,24288140.7
2023,Bizkaia,M3,Uso industrial,25445892.7
2021,Bizkaia,M3,Uso industrial,24292745.1
2023,Gipuzkoa,M3,Uso industrial,22757666.1
2022,Gipuzkoa,M3,Uso industrial,20955991.4
2021,Gipuzkoa,M3,Uso industrial,21567942.9
2018,,M3,Uso comercial,12219522.3
2022,,M3,Uso comercial,11060459.6
2019,,M3,Uso comercial,11666682.7
2013,,M3,Uso comercial,11740415.2
2023,,M3,Uso comercial,9772381.2
2021,,M3,Uso comercial,10471436.0
2020,,M3,Uso comercial,11253856.2
2017,,M3,Uso comercial,11970086.0
2016,,M3,Uso comercial,12429023.2
2023,Araba/Álava,M3,Uso comercial,119019.2
2022,Araba/Álava,M3,Uso comercial,315629.0
2021,Araba/Álava,M3,Uso comercial,307205.5
2021,Bizkaia,M3,Uso comercial,4743841.0
2022,Bizkaia,M3,Uso comercial,4746266.6
2023,Bizkaia,M3,Uso comercial,6283333.0
2022,Gipuzkoa,M3,Uso comercial,5998564.0
2023,Gipuzkoa,M3,Uso comercial,3370029.0
2021,Gipuzkoa,M3,Uso comercial,5420389.0
2017,,M3,Uso público,10650290.2
2019,,M3,Uso público,10440779.4
2016,,M3,Uso público,10427598.1
2021,,M3,Uso público,9263988.0
2023,,M3,Uso público,18438765.3
2020,,M3,Uso público,5047360.5
2018,,M3,Uso público,10356549.1
2013,,M3,Uso público,10687889.9
