Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2013,Consumo de agua,,,,Litros,,177555343.0
2022,Consumo de agua,,,,Litros,,178506380.3
2021,Consumo de agua,,,,Litros,,176421751.0
2016,Consumo de agua,,,,Litros,,180637435.0
2020,Consumo de agua,,,,Litros,,163675650.5
2017,Consumo de agua,,,,Litros,,180334331.0
2018,Consumo de agua,,,,Litros,,179965484.0
2019,Consumo de agua,,,,Litros,,178194263.7
2021,Consumo de agua,Araba/Álava,,,Litros,Araba/Álava,33005213.7
2022,Consumo de agua,Araba/Álava,,,Litros,Araba/Álava,34289283.3
2022,Consumo de agua,Bizkaia,,,Litros,Bizkaia,80667418.7
2021,Consumo de agua,Bizkaia,,,Litros,Bizkaia,80592250.2
2022,Consumo de agua,Gipuzkoa,,,Litros,Gipuzkoa,63549678.2
2021,Consumo de agua,Gipuzkoa,,,Litros,Gipuzkoa,62824287.1
2019,Consumo de agua por habitante y día,,,,Litros per cápita diario,,177.6
2015,Consumo de agua por habitante y día,,,,Litros per cápita diario,,179.3
2018,Consumo de agua por habitante y día,,,,Litros per cápita diario,,178.1
2017,Consumo de agua por habitante y día,,,,Litros per cápita diario,,179.7
2014,Consumo de agua por habitante y día,,,,Litros per cápita diario,,179.4
2012,Consumo de agua por habitante y día,,,,Litros per cápita diario,,184.4
2011,Consumo de agua por habitante y día,,,,Litros per cápita diario,,184.4
2016,Consumo de agua por habitante y día,,,,Litros per cápita diario,,180.8
2011,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,144.5
2017,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,171.7
2015,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,174.7
2016,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,175.7
2014,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,176.1
2019,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,172.6
2018,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,172.0
2012,Consumo de agua por habitante y día,,,Abadiño,Litros per cápita diario,Abadiño,184.4
