Year,Series,Edad,Territorio histórico,Units,Value
2020,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,62.1
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,78.5
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,73.8
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,101.0
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,71.4
2022,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,52.2
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,89.4
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,51.4
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,103.5
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,83.7
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,98.2
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,68.0
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,82.2
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,,Por 100.000,56.5
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,94.8
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,97.0
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,74.7
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,53.7
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,101.2
2020,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,59.5
2020,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,63.2
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,49.6
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,77.5
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,118.0
2022,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,54.3
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,78.3
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,53.3
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,69.0
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,72.6
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,93.9
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,75.4
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,58.8
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,66.0
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,54.1
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,71.0
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,91.6
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,81.3
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,86.1
2022,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,54.4
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,59.4
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,98.8
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,113.8
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,95.8
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,102.4
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,76.0
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,79.4
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,98.7
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,122.5
2022,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,50.4
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,83.7
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,89.7
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,68.9
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,85.6
2020,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,65.8
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,70.8
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,84.4
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,66.0
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,75.4
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,76.0
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,70.8
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,95.8
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,83.7
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,84.4
2022,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,54.4
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,102.4
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,113.8
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,53.3
2020,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,63.2
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,93.9
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,59.4
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,58.8
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,72.6
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,94.8
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,118.0
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,79.4
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,78.3
2020,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,65.8
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,81.3
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,85.6
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,101.2
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,74.7
2022,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,54.3
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,86.1
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,49.6
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,54.1
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,97.0
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,89.7
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,122.5
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Gipuzkoa,Por 100.000,98.7
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,53.7
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,98.8
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Bizkaia,Por 100.000,71.0
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,15 años y más,Araba/Álava,Por 100.000,91.6
