Year,Units,Territorio histórico,Value
2021,Porcentaje,,4.9
2016,Porcentaje,,1.1
2019,Porcentaje,,1.1
2017,Porcentaje,,0.8
2014,Porcentaje,,1.0
2015,Porcentaje,,0.9
2011,Porcentaje,,1.6
2020,Porcentaje,,-8.0
2013,Porcentaje,,0.6
2022,Porcentaje,,3.2
2018,Porcentaje,,0.9
2012,Porcentaje,,1.1
2022,Porcentaje,1.0,1.7
2011,Porcentaje,1.0,2.6
2013,Porcentaje,1.0,0.7
2017,Porcentaje,1.0,-0.2
2012,Porcentaje,1.0,1.0
2020,Porcentaje,1.0,-8.5
2014,Porcentaje,1.0,2.7
2019,Porcentaje,1.0,0.7
2018,Porcentaje,1.0,-0.1
2015,Porcentaje,1.0,1.6
2021,Porcentaje,1.0,4.7
2016,Porcentaje,1.0,0.8
2011,Porcentaje,48.0,1.5
2018,Porcentaje,48.0,0.8
2020,Porcentaje,48.0,-7.5
2021,Porcentaje,48.0,4.9
2022,Porcentaje,48.0,4.4
2012,Porcentaje,48.0,0.8
2013,Porcentaje,48.0,1.1
2014,Porcentaje,48.0,0.6
2015,Porcentaje,48.0,0.6
2016,Porcentaje,48.0,1.3
2019,Porcentaje,48.0,0.9
2017,Porcentaje,48.0,1.3
2019,Porcentaje,20.0,1.7
2020,Porcentaje,20.0,-8.6
2021,Porcentaje,20.0,5.2
2022,Porcentaje,20.0,2.2
2011,Porcentaje,20.0,1.3
2012,Porcentaje,20.0,1.4
2013,Porcentaje,20.0,0.1
2014,Porcentaje,20.0,0.5
2015,Porcentaje,20.0,1.2
2016,Porcentaje,20.0,1.3
2017,Porcentaje,20.0,0.6
2018,Porcentaje,20.0,1.2
