Year,Series,Sexo,Personas sin y con discapacidad,Units,Value
2014,Ingreso medio por hora de las personas empleadas,,,Euros,18.3
2011,Ingreso medio por hora de las personas empleadas,,,Euros,17.2
2012,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,17.5
2015,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,18.5
2020,Ingreso medio por hora de las personas empleadas,,,Euros,19.9
2013,Ingreso medio por hora de las personas empleadas,,,Euros,17.5
2017,Ingreso medio por hora de las personas empleadas,,,Euros,18.5
2010,Ingreso medio por hora de las personas empleadas,,,Euros,17.4
2019,Ingreso medio por hora de las personas empleadas,,,Euros,19.5
2018,Ingreso medio por hora de las personas empleadas,,,Euros,18.9
2010,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,17.5
2016,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,18.3
2013,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,17.7
2011,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,17.2
2021,Ingreso medio por hora de las personas empleadas,,,Euros,20.4
2017,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,18.6
2015,Ingreso medio por hora de las personas empleadas,,,Euros,18.4
2018,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,19.0
2016,Ingreso medio por hora de las personas empleadas,,,Euros,18.2
2012,Ingreso medio por hora de las personas empleadas,,,Euros,17.4
2014,Ingreso medio por hora de las personas empleadas,,Persona sin discapacidad,Euros,18.5
2010,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,14.9
2018,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,15.4
2013,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,13.4
2012,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,14.6
2016,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,13.3
2015,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,14.1
2011,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,14.4
2014,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,13.7
2017,Ingreso medio por hora de las personas empleadas,,Persona con discapacidad,Euros,13.7
2019,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,18.5
2010,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,15.7
2017,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,17.0
2015,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,17.0
2012,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,15.3
2016,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,16.6
2020,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,19.0
2011,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,15.2
2018,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,17.6
2021,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,19.6
2013,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,15.4
2014,Ingreso medio por hora de las personas empleadas,Mujer,,Euros,16.7
2013,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,19.1
2021,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,21.1
2011,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,18.6
2016,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,19.4
2020,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,20.7
2015,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,19.5
2012,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,19.1
2014,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,19.6
2018,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,20.0
2019,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,20.4
2010,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,18.6
2017,Ingreso medio por hora de las personas empleadas,Hombre,,Euros,19.6
2018,Brecha de género en el salario medio por hora,,,Porcentaje,11.9
2019,Brecha de género en el salario medio por hora,,,Porcentaje,9.5
2017,Brecha de género en el salario medio por hora,,,Porcentaje,12.8
2010,Brecha de género en el salario medio por hora,,,Porcentaje,15.4
2020,Brecha de género en el salario medio por hora,,,Porcentaje,8.3
2016,Brecha de género en el salario medio por hora,,,Porcentaje,14.3
2012,Brecha de género en el salario medio por hora,,,Porcentaje,20.1
2014,Brecha de género en el salario medio por hora,,,Porcentaje,15.1
2021,Brecha de género en el salario medio por hora,,,Porcentaje,7.3
2013,Brecha de género en el salario medio por hora,,,Porcentaje,19.6
2011,Brecha de género en el salario medio por hora,,,Porcentaje,18.1
2015,Brecha de género en el salario medio por hora,,,Porcentaje,12.8
