Year,Series,Tipo de valor,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,19.4
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,19.0
2012,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,5683.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.6
2016,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,6187.1
2022,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,6401.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,19.0
2019,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,6465.7
2013,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,5553.0
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.1
2018,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,6423.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.8
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.5
2015,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,5935.6
2011,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,6033.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,17.8
2010,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,5896.8
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.7
2021,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,6141.9
2014,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,5702.8
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.9
2020,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,5618.5
2017,Valor añadido del sector manufacturo per cápita,Real,,,,Euro per cápita,,6328.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,,,,Porcentaje,,18.3
2017,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,9602.0
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,25.2
2012,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,8497.7
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,25.9
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,26.0
2013,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,8558.7
2019,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,9362.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,24.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,26.4
2014,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,8868.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,26.3
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,25.0
2016,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,9394.4
2015,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,9128.8
2021,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,8710.3
2018,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,9537.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,25.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,24.0
2020,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,7977.7
2011,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,9004.5
2022,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,9162.6
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,25.7
2010,Valor añadido del sector manufacturo per cápita,Real,Araba/Álava,,,Euro per cápita,Araba/Álava,8657.0
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,25.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,26.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,Araba/Álava,,,Porcentaje,Araba/Álava,26.3
2022,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,13.0
2014,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4145.6
2010,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.7
2013,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4013.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,13.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.1
2022,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4541.4
2017,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.4
2020,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4106.4
2013,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,13.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.4
2018,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4698.7
2021,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4420.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.1
2012,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,13.9
2011,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.8
2017,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4675.7
2015,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4297.1
2019,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4771.3
2012,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4076.9
2011,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4430.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,14.1
2010,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4393.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,Bizkaia,,,Porcentaje,Bizkaia,13.4
2016,Valor añadido del sector manufacturo per cápita,Real,Bizkaia,,,Euro per cápita,Bizkaia,4520.3
2013,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,6688.8
2011,Valor añadido del sector manufacturo per cápita,Real,Gipuzkoa,,,Euro per cápita,Gipuzkoa,7308.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,21.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Real,Gipuzkoa,,,Porcentaje,Gipuzkoa,22.3
