Year,Series,Actividad económica,Units,Value
2019,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.2
2018,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.2
2013,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.22
2015,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.21
2021,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.2
2017,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.21
2012,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.24
2020,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.2
2011,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.22
2010,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.25
2022,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.21
2014,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.21
2016,Emisiones de CO2,,Kg de CO2 equivalente por euro de PIB,0.21
2011,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.45
2010,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.49
2022,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.38
2021,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.42
2020,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.4
2019,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.4
2018,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.41
2017,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.43
2016,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.44
2015,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.45
2014,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.47
2013,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.47
2012,Emisiones de CO2 por unidad de valor añadido del sector manufacturero ,Manufactura,Kg de CO2 equivalente por euro de PIB,0.45
