Year,Value,Units,Series
2020,10.61,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2016,12.65,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2015,11.78,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2013,14.75,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2021,8.27,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2012,15.82,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2019,9.03,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2018,9.93,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2017,10.47,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2014,14.82,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
2022,10.91,Por 100.000,Incidencia de la tuberculosis por cada 100.000 habitantes
