Year,Value,Units,Series,Progress
2009,33.2,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",66.8
2009,54.5,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,54.5
2016,51.7,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,51.7
2020,30.6,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",69.4
2023,43.2,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,56.8
2016,38.2,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",61.8
2023,32.9,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",67.1
2020,47.9,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,52.1
2013,57.5,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,57.5
2013,37.4,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",62.6
