Year,Value,Units,Series,GeoCode
2019,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2023,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2010,99.5,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2022,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2014,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2015,99.6,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2021,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2013,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2021,99.8,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2016,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2015,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2020,99.8,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2016,99.6,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2020,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2018,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
2013,99.6,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2023,99.8,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2019,99.6,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2022,99.8,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2014,99.6,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2018,99.6,Porcentaje,Proporción de la población que utiliza servicios básicos de saneamiento,
2010,99.9,Porcentaje,Proporción de la población que utiliza servicios básicos de agua potable,
