Year,Value,Units
2010,107.2,Toneladas equivalentes de petróleo por millón de euros
2011,98.5,Toneladas equivalentes de petróleo por millón de euros
2012,101.4,Toneladas equivalentes de petróleo por millón de euros
2013,98.9,Toneladas equivalentes de petróleo por millón de euros
2014,94.9,Toneladas equivalentes de petróleo por millón de euros
2015,93.4,Toneladas equivalentes de petróleo por millón de euros
2016,89.8,Toneladas equivalentes de petróleo por millón de euros
2017,90.0,Toneladas equivalentes de petróleo por millón de euros
2018,87.4,Toneladas equivalentes de petróleo por millón de euros
2019,86.6,Toneladas equivalentes de petróleo por millón de euros
2020,86.3,Toneladas equivalentes de petróleo por millón de euros
2021,87.5,Toneladas equivalentes de petróleo por millón de euros
2022,85.8,Toneladas equivalentes de petróleo por millón de euros
