Year,Value,Units,Series
2010,32.77,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2011,32.7,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2012,33.4,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2013,35.29,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2014,34.49,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2015,35.25,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2016,34.92,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2017,34.64,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2018,36.02,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2019,37.2,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2020,37.99,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
2021,38.56,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud
