Year,Sexua,Units,Value
2018,,Porcentaje,17.7
2014,,Porcentaje,18.5
2012,,Porcentaje,15.4
2022,,Porcentaje,16.5
2008,,Porcentaje,14.8
2016,,Porcentaje,16.4
2020,,Porcentaje,17.8
2008,Emakumea,Porcentaje,16.6
2012,Emakumea,Porcentaje,16.7
2014,Emakumea,Porcentaje,19.4
2016,Emakumea,Porcentaje,17.6
2020,Emakumea,Porcentaje,18.9
2018,Emakumea,Porcentaje,18.8
2022,Emakumea,Porcentaje,17.7
2022,Gizona,Porcentaje,15.2
2016,Gizona,Porcentaje,15.1
2012,Gizona,Porcentaje,14.0
2008,Gizona,Porcentaje,12.9
2018,Gizona,Porcentaje,16.5
2020,Gizona,Porcentaje,16.6
2014,Gizona,Porcentaje,17.6
