Year,Pobreziaren dimentsioa,Sexua,Units,Value
2014,,,Porcentaje,22.7
2020,,,Porcentaje,19.9
2008,,,Porcentaje,17.9
2018,,,Porcentaje,20.7
2004,,,Porcentaje,19.6
2022,,,Porcentaje,19.5
2012,,,Porcentaje,19.9
2016,,,Porcentaje,20.6
2004,Pobrezia-arriskua (monetarioa),,Porcentaje,16.5
2022,Pobrezia-arriskua (monetarioa),,Porcentaje,16.5
2014,Pobrezia-arriskua (monetarioa),,Porcentaje,18.5
2008,Pobrezia-arriskua (monetarioa),,Porcentaje,14.8
2016,Pobrezia-arriskua (monetarioa),,Porcentaje,16.4
2018,Pobrezia-arriskua (monetarioa),,Porcentaje,17.7
2012,Pobrezia-arriskua (monetarioa),,Porcentaje,15.4
2020,Pobrezia-arriskua (monetarioa),,Porcentaje,17.8
2008,Gabezia material eta sozial larria,,Porcentaje,2.7
2018,Gabezia material eta sozial larria,,Porcentaje,5.6
2014,Gabezia material eta sozial larria,,Porcentaje,5.2
2012,Gabezia material eta sozial larria,,Porcentaje,5.8
2004,Gabezia material eta sozial larria,,Porcentaje,3.6
2022,Gabezia material eta sozial larria,,Porcentaje,4.7
2020,Gabezia material eta sozial larria,,Porcentaje,4.1
2016,Gabezia material eta sozial larria,,Porcentaje,6.4
2012,Lan-intentsitate txikia,,Porcentaje,9.9
2020,Lan-intentsitate txikia,,Porcentaje,7.6
2018,Lan-intentsitate txikia,,Porcentaje,9.1
2014,Lan-intentsitate txikia,,Porcentaje,12.0
2004,Lan-intentsitate txikia,,Porcentaje,6.4
2008,Lan-intentsitate txikia,,Porcentaje,5.6
2022,Lan-intentsitate txikia,,Porcentaje,7.8
2016,Lan-intentsitate txikia,,Porcentaje,10.2
2012,,Emakumea,Porcentaje,21.0
2020,,Emakumea,Porcentaje,21.0
2018,,Emakumea,Porcentaje,21.7
2004,,Emakumea,Porcentaje,22.0
2014,,Emakumea,Porcentaje,23.3
2008,,Emakumea,Porcentaje,20.3
2016,,Emakumea,Porcentaje,21.5
2022,,Emakumea,Porcentaje,20.5
2016,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,17.6
2004,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,18.6
2012,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,16.7
2018,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,18.8
2014,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,19.4
2022,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,17.7
2020,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,18.9
2008,Pobrezia-arriskua (monetarioa),Emakumea,Porcentaje,16.6
2022,Gabezia material eta sozial larria,Emakumea,Porcentaje,4.7
2020,Gabezia material eta sozial larria,Emakumea,Porcentaje,4.3
2018,Gabezia material eta sozial larria,Emakumea,Porcentaje,5.7
2016,Gabezia material eta sozial larria,Emakumea,Porcentaje,6.5
2014,Gabezia material eta sozial larria,Emakumea,Porcentaje,5.2
2012,Gabezia material eta sozial larria,Emakumea,Porcentaje,5.6
2008,Gabezia material eta sozial larria,Emakumea,Porcentaje,3.0
2004,Gabezia material eta sozial larria,Emakumea,Porcentaje,3.8
2022,Lan-intentsitate txikia,Emakumea,Porcentaje,8.1
2014,Lan-intentsitate txikia,Emakumea,Porcentaje,11.9
2008,Lan-intentsitate txikia,Emakumea,Porcentaje,6.4
2004,Lan-intentsitate txikia,Emakumea,Porcentaje,7.3
2012,Lan-intentsitate txikia,Emakumea,Porcentaje,9.9
2016,Lan-intentsitate txikia,Emakumea,Porcentaje,10.3
2020,Lan-intentsitate txikia,Emakumea,Porcentaje,7.6
2018,Lan-intentsitate txikia,Emakumea,Porcentaje,9.6
2018,,Gizona,Porcentaje,19.6
2008,,Gizona,Porcentaje,15.4
2020,,Gizona,Porcentaje,18.8
2004,,Gizona,Porcentaje,17.0
2016,,Gizona,Porcentaje,19.6
2012,,Gizona,Porcentaje,18.8
2014,,Gizona,Porcentaje,22.0
2022,,Gizona,Porcentaje,18.3
2018,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,16.5
2022,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,15.2
2020,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,16.6
2014,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,17.6
2008,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,12.9
2012,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,14.0
2016,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,15.1
2004,Pobrezia-arriskua (monetarioa),Gizona,Porcentaje,14.3
2008,Gabezia material eta sozial larria,Gizona,Porcentaje,2.5
2004,Gabezia material eta sozial larria,Gizona,Porcentaje,3.3
2022,Gabezia material eta sozial larria,Gizona,Porcentaje,4.7
2020,Gabezia material eta sozial larria,Gizona,Porcentaje,4.0
2018,Gabezia material eta sozial larria,Gizona,Porcentaje,5.4
2016,Gabezia material eta sozial larria,Gizona,Porcentaje,6.3
2014,Gabezia material eta sozial larria,Gizona,Porcentaje,5.3
2012,Gabezia material eta sozial larria,Gizona,Porcentaje,6.0
2022,Lan-intentsitate txikia,Gizona,Porcentaje,7.4
2020,Lan-intentsitate txikia,Gizona,Porcentaje,7.7
2018,Lan-intentsitate txikia,Gizona,Porcentaje,8.5
2016,Lan-intentsitate txikia,Gizona,Porcentaje,10.1
2014,Lan-intentsitate txikia,Gizona,Porcentaje,12.1
2012,Lan-intentsitate txikia,Gizona,Porcentaje,9.9
2008,Lan-intentsitate txikia,Gizona,Porcentaje,4.8
2004,Lan-intentsitate txikia,Gizona,Porcentaje,5.6
