Year,ServBasico,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2010,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2011,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2013,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2014,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2015,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2016,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2017,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2018,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2019,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2020,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2021,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2022,BSRVH2O,Araba/Álava,,,Ehunekoa,Araba/Álava,100.0
2010,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.6
2011,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2013,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2014,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2015,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2016,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2017,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2018,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2019,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.7
2020,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.8
2021,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.8
2022,BSRVSAN,Araba/Álava,,,Ehunekoa,Araba/Álava,99.8
2010,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.8
2011,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2013,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2014,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2015,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2016,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2017,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2018,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2019,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2020,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2021,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,100.0
2022,BSRVH2O,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2010,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.7
2011,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.8
2013,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.8
2014,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.8
2015,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2016,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2017,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2018,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2019,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2020,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2021,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,99.9
2022,BSRVSAN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,100.0
2010,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,99.9
2011,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,100.0
2013,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,100.0
2014,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,100.0
2015,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,100.0
2016,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,99.9
2017,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,99.9
2018,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,99.9
2019,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,99.9
2020,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,100.0
2021,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,99.9
2022,BSRVH2O,,,Amurrio,Ehunekoa,Amurrio,99.9
2010,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.6
2011,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.8
2013,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.7
2014,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.7
2015,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.7
2016,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.8
2017,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.7
2018,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.7
2019,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.7
2020,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.7
2021,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.8
2022,BSRVSAN,,,Amurrio,Ehunekoa,Amurrio,99.8
2010,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2011,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2013,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2014,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2015,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2016,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2017,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2018,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2019,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2020,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2021,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2022,BSRVH2O,,,Aramaio,Ehunekoa,Aramaio,100.0
2010,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2011,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2013,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2014,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2015,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2016,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2017,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2018,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2019,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2020,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2021,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2022,BSRVSAN,,,Aramaio,Ehunekoa,Aramaio,100.0
2010,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.0
2011,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.0
2013,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.0
2014,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,98.9
2015,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,98.9
2016,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.0
2017,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.0
2018,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.0
2019,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.3
2020,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.3
2021,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.2
2022,BSRVH2O,,,Artziniega,Ehunekoa,Artziniega,99.2
2010,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.7
2011,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.7
2013,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.7
2014,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.9
2015,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.9
2016,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.9
2017,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,100.0
2018,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.9
2019,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.9
2020,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.9
2021,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.7
2022,BSRVSAN,,,Artziniega,Ehunekoa,Artziniega,99.7
2010,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,98.9
2011,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,98.9
2013,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2014,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2015,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2016,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2017,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2018,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2019,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,98.9
2020,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,98.9
2021,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2022,BSRVH2O,,,Armiñón,Ehunekoa,Armiñón,100.0
2010,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,98.9
2011,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,96.8
2013,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,98.0
2014,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,98.0
2015,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.9
2016,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.9
2017,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.9
2018,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.8
2019,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.8
2020,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.9
2021,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.9
2022,BSRVSAN,,,Armiñón,Ehunekoa,Armiñón,97.9
2010,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2011,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2013,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2014,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2015,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2016,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2017,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2018,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2019,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2020,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2021,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2022,BSRVH2O,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,100.0
2010,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,98.2
2011,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,97.4
2013,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,98.6
2014,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,98.6
2015,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,98.6
2016,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,98.9
2017,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,99.4
2018,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,99.5
2019,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,99.5
2020,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,99.2
2021,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,99.2
2022,BSRVSAN,,,Arratzua-Ubarrundia,Ehunekoa,Arratzua-Ubarrundia,99.2
2010,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2011,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2013,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2014,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2015,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2016,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2017,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2018,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2019,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2020,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2021,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2022,BSRVH2O,,,Asparrena,Ehunekoa,Asparrena,100.0
2010,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2011,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2013,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2014,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2015,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2016,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2017,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2018,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2019,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.6
2020,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.8
2021,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.8
2022,BSRVSAN,,,Asparrena,Ehunekoa,Asparrena,98.8
2010,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.3
2011,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.5
2013,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.6
2014,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.6
2015,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.6
2016,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.6
2017,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.5
2018,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.5
2019,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.5
2020,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.5
2021,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.6
2022,BSRVH2O,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),99.6
2010,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),96.6
2011,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.4
2013,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.5
2014,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.3
2015,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.3
2016,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.4
2017,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.5
2018,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.5
2019,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.6
2020,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.6
2021,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.6
2022,BSRVSAN,,Añana (eskualdea),,Ehunekoa,Añana (eskualdea),97.7
2010,BSRVH2O,,,Ayala/Aiara,Ehunekoa,Ayala/Aiara,99.4
