Year,Lurraldea,Units,Value
2010,Araba/Álava,Ehunekoa,0.09
2011,Araba/Álava,Ehunekoa,0.0
2012,Araba/Álava,Ehunekoa,0.0
2013,Araba/Álava,Ehunekoa,0.01
2014,Araba/Álava,Ehunekoa,0.0
2015,Araba/Álava,Ehunekoa,0.01
2016,Araba/Álava,Ehunekoa,0.0
2017,Araba/Álava,Ehunekoa,0.06
2018,Araba/Álava,Ehunekoa,0.01
2019,Araba/Álava,Ehunekoa,0.01
2020,Araba/Álava,Ehunekoa,0.0
2021,Araba/Álava,Ehunekoa,0.02
2022,Araba/Álava,Ehunekoa,0.0
2010,Gipuzkoa,Ehunekoa,0.04
2011,Gipuzkoa,Ehunekoa,0.23
2012,Gipuzkoa,Ehunekoa,0.0
2013,Gipuzkoa,Ehunekoa,0.02
2014,Gipuzkoa,Ehunekoa,0.06
2015,Gipuzkoa,Ehunekoa,0.02
2016,Gipuzkoa,Ehunekoa,0.01
2017,Gipuzkoa,Ehunekoa,0.03
2018,Gipuzkoa,Ehunekoa,0.0
2019,Gipuzkoa,Ehunekoa,0.01
2020,Gipuzkoa,Ehunekoa,0.01
2021,Gipuzkoa,Ehunekoa,0.02
2022,Gipuzkoa,Ehunekoa,0.0
2010,Bizkaia,Ehunekoa,0.08
2011,Bizkaia,Ehunekoa,0.04
2012,Bizkaia,Ehunekoa,0.0
2013,Bizkaia,Ehunekoa,0.01
2014,Bizkaia,Ehunekoa,0.03
2015,Bizkaia,Ehunekoa,0.02
2016,Bizkaia,Ehunekoa,0.0
2017,Bizkaia,Ehunekoa,0.01
2018,Bizkaia,Ehunekoa,0.01
2019,Bizkaia,Ehunekoa,0.01
2020,Bizkaia,Ehunekoa,0.0
2021,Bizkaia,Ehunekoa,0.02
2022,Bizkaia,Ehunekoa,0.0
2010,,Ehunekoa,0.07
2011,,Ehunekoa,0.09
2012,,Ehunekoa,0.0
2013,,Ehunekoa,0.01
2014,,Ehunekoa,0.03
2015,,Ehunekoa,0.02
2016,,Ehunekoa,0.01
2017,,Ehunekoa,0.02
2018,,Ehunekoa,0.01
2019,,Ehunekoa,0.01
2020,,Ehunekoa,0.0
2021,,Ehunekoa,0.02
2022,,Ehunekoa,0.0
