Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2016,SG_DSR_SILS,,,,Porcentaje,,34.13
2018,SG_DSR_SILS,,,,Porcentaje,,34.13
2020,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2014,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2012,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2018,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2021,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2024,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2014,SG_DSR_SILS,,,,Porcentaje,,34.13
2017,SG_DSR_SILS,,,,Porcentaje,,34.13
2015,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2019,SG_DSR_SILS,,,,Porcentaje,,34.13
2011,SG_DSR_SILS,,,,Porcentaje,,33.73
2023,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2020,SG_DSR_SILS,,,,Porcentaje,,34.13
2010,SG_DSR_SILS,,,,Porcentaje,,33.73
2017,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2013,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2022,SG_DSR_SILS,,,,Porcentaje,,34.52
2013,SG_DSR_SILS,,,,Porcentaje,,33.73
2016,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2021,SG_DSR_SILS,,,,Porcentaje,,34.52
2024,SG_DSR_SILS,,,,Porcentaje,,35.32
2011,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2015,SG_DSR_SILS,,,,Porcentaje,,34.13
2023,SG_DSR_SILS,,,,Porcentaje,,34.52
2012,SG_DSR_SILS,,,,Porcentaje,,33.73
2010,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2019,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2022,EU_DSR_SILS_TH,,,,Porcentaje,,100.0
2024,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2014,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2018,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2016,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2017,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2021,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2015,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2013,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2013,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2015,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2023,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2022,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2020,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2020,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2019,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2011,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2018,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2016,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2023,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2019,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2014,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2012,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2011,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2021,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2024,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2022,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2012,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2010,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2010,SG_DSR_SILS,,,Abadiño,Porcentaje,Abadiño,100.0
2017,EU_DSR_SILS_TH,,,Abadiño,Porcentaje,Abadiño,100.0
2014,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2018,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2024,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2023,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2020,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2010,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2023,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2019,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2020,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2011,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2012,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2022,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2013,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2016,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2013,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2012,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2014,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2010,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2011,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2017,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2021,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2024,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2022,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2018,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2015,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2021,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2019,EU_DSR_SILS_TH,,,Abaltzisketa,Porcentaje,Abaltzisketa,100.0
2015,SG_DSR_SILS,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
