Year,Series,Territorio,Units,Value
2023,EU_EXP_RGI,,Millones de euros,467.68
2023,EU_EXP_AES,,Millones de euros,50.17
2020,EU_EXP_AES,,Millones de euros,44.41
2021,EU_EXP_AES,,Millones de euros,46.36
2020,EU_EXP_RGI,,Millones de euros,449.87
2019,EU_EXP_RGI,,Millones de euros,422.49
2021,EU_EXP_RGI,,Millones de euros,426.61
2022,EU_EXP_RGI,,Millones de euros,379.62
2022,EU_EXP_AES,,Millones de euros,48.43
2020,EU_EXP_AES,Araba/Álava,Millones de euros,8.51
2020,EU_EXP_RGI,Araba/Álava,Millones de euros,75.59
2023,EU_EXP_AES,Araba/Álava,Millones de euros,9.48
2023,EU_EXP_RGI,Araba/Álava,Millones de euros,88.34
2021,EU_EXP_RGI,Araba/Álava,Millones de euros,77.16
2019,EU_EXP_RGI,Araba/Álava,Millones de euros,69.04
2021,EU_EXP_AES,Araba/Álava,Millones de euros,9.14
2022,EU_EXP_AES,Araba/Álava,Millones de euros,8.38
2022,EU_EXP_RGI,Araba/Álava,Millones de euros,69.72
2020,EU_EXP_AES,Bizkaia,Millones de euros,23.31
2023,EU_EXP_RGI,Bizkaia,Millones de euros,272.84
2022,EU_EXP_AES,Bizkaia,Millones de euros,26.24
2019,EU_EXP_RGI,Bizkaia,Millones de euros,257.87
2021,EU_EXP_RGI,Bizkaia,Millones de euros,251.25
2022,EU_EXP_RGI,Bizkaia,Millones de euros,224.54
2020,EU_EXP_RGI,Bizkaia,Millones de euros,270.46
2021,EU_EXP_AES,Bizkaia,Millones de euros,24.42
2023,EU_EXP_AES,Bizkaia,Millones de euros,26.59
2020,EU_EXP_AES,Gipuzkoa,Millones de euros,12.59
2023,EU_EXP_RGI,Gipuzkoa,Millones de euros,106.51
2023,EU_EXP_AES,Gipuzkoa,Millones de euros,14.1
2022,EU_EXP_RGI,Gipuzkoa,Millones de euros,85.36
2021,EU_EXP_RGI,Gipuzkoa,Millones de euros,98.21
2021,EU_EXP_AES,Gipuzkoa,Millones de euros,12.8
2020,EU_EXP_RGI,Gipuzkoa,Millones de euros,103.82
2019,EU_EXP_RGI,Gipuzkoa,Millones de euros,95.58
2022,EU_EXP_AES,Gipuzkoa,Millones de euros,13.8
