Year,Series,Diru-sarreren taldea,Lurralde historikoa,Units,Value
2020,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,-1.1
2012,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,0.5
2020,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,Porcentaje,4.5
2017,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,0.8
2014,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,Porcentaje,-0.9
2015,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,0.6
2019,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,1.7
2016,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,0.5
2012,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,Porcentaje,-1.0
2008,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,Porcentaje,4.2
2018,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,1.2
2011,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,1.7
2014,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,0.1
2022,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,1.3
2021,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,-0.3
2022,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,Porcentaje,3.2
2018,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,Porcentaje,1.6
2013,Familiako gastuaren hazkunde-tasa per capita,,,Porcentaje,0.0
2016,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,Porcentaje,1.0
2021,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,0.9
2018,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,0.9
2017,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,-0.1
2022,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,2.5
2013,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,-1.3
2015,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,1.1
2011,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,0.3
2014,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,-2.4
2019,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,1.0
2012,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,0.2
2020,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,-1.9
2016,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,Porcentaje,1.0
2022,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,Porcentaje,1.0
2016,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,Porcentaje,0.1
2020,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,Porcentaje,-1.5
2021,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,Porcentaje,-0.5
