Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2010,Hondakin arriskutsuak biztanleko,,,Kg per capita,163.0
2014,Hondakin arriskutsuak biztanleko,,,Kg per capita,148.8
2015,Hondakin arriskutsuak biztanleko,,,Kg per capita,150.8
2019,Hondakin arriskutsuak biztanleko,,,Kg per capita,150.5
2013,Hondakin arriskutsuak biztanleko,,,Kg per capita,130.5
2018,Hondakin arriskutsuak biztanleko,,,Kg per capita,149.6
2020,Hondakin arriskutsuak biztanleko,,,Kg per capita,144.7
2011,Hondakin arriskutsuak biztanleko,,,Kg per capita,151.2
2016,Hondakin arriskutsuak biztanleko,,,Kg per capita,148.1
2017,Hondakin arriskutsuak biztanleko,,,Kg per capita,145.4
2012,Hondakin arriskutsuak biztanleko,,,Kg per capita,137.1
2014,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,164.8
2012,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,136.6
2019,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,204.2
2016,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,161.3
2018,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,197.1
2020,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,187.3
2011,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,165.3
2017,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,159.9
2013,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,129.2
2015,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,160.8
2010,Hondakin arriskutsuak biztanleko,,Araba / Álava,Kg per capita,141.4
2015,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,184.2
2019,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,168.8
2014,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,183.0
2011,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,178.6
2016,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,180.3
2018,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,171.2
2010,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,201.3
2017,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,176.8
2020,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,157.0
2012,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,166.3
2013,Hondakin arriskutsuak biztanleko,,Bizkaia,Kg per capita,159.5
2012,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,89.5
2010,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,109.9
2019,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,97.0
2014,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,86.5
2017,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,88.7
2015,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,92.6
2011,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,99.9
2018,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,93.4
2013,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,84.0
2016,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,90.4
2020,Hondakin arriskutsuak biztanleko,,Gipuzkoa,Kg per capita,105.5
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,64.4
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,61.5
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,59.1
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,60.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,67.7
