Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2010,Baso-azalera azalera osoaren proportzioan,,,,Porcentaje,,54.9
2022,Baso-azalera azalera osoaren proportzioan,,,,Porcentaje,,54.8
2020,Baso-azalera azalera osoaren proportzioan,,,,Porcentaje,,54.7
2018,Baso-azalera azalera osoaren proportzioan,,,,Porcentaje,,54.2
2019,Baso-azalera azalera osoaren proportzioan,,,,Porcentaje,,54.5
2021,Baso-azalera azalera osoaren proportzioan,,,,Porcentaje,,54.8
2016,Baso-azalera azalera osoaren proportzioan,,,,Porcentaje,,54.9
2021,Baso-azalera azalera osoaren proportzioan,,,Abadiño,Porcentaje,Abadiño,53.3
2022,Baso-azalera azalera osoaren proportzioan,,,Abadiño,Porcentaje,Abadiño,53.4
2020,Baso-azalera azalera osoaren proportzioan,,,Abadiño,Porcentaje,Abadiño,53.3
2018,Baso-azalera azalera osoaren proportzioan,,,Abadiño,Porcentaje,Abadiño,52.5
2019,Baso-azalera azalera osoaren proportzioan,,,Abadiño,Porcentaje,Abadiño,52.8
2016,Baso-azalera azalera osoaren proportzioan,,,Abadiño,Porcentaje,Abadiño,53.5
2010,Baso-azalera azalera osoaren proportzioan,,,Abadiño,Porcentaje,Abadiño,53.3
2019,Baso-azalera azalera osoaren proportzioan,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2018,Baso-azalera azalera osoaren proportzioan,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2016,Baso-azalera azalera osoaren proportzioan,,,Abaltzisketa,Porcentaje,Abaltzisketa,52.5
2010,Baso-azalera azalera osoaren proportzioan,,,Abaltzisketa,Porcentaje,Abaltzisketa,53.5
2022,Baso-azalera azalera osoaren proportzioan,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2020,Baso-azalera azalera osoaren proportzioan,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2021,Baso-azalera azalera osoaren proportzioan,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2022,Baso-azalera azalera osoaren proportzioan,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.9
2018,Baso-azalera azalera osoaren proportzioan,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,35.7
