Year,Series,Institución,Territorio,Units,Value
2021,Sector público (total),,Bizkaia,Ratio,1.21
2016,Sector público (total),,Araba/Álava,Ratio,1.21
2012,Sector público (total),,Araba/Álava,Ratio,1.18
2017,SG_DMK_JDC,,,Ratio,1.22
2016,SG_DMK_PARLMP_LC,,,Ratio,1.07
2012,Sector público (total),,Bizkaia,Ratio,1.11
2017,Sector público (total),,Bizkaia,Ratio,1.17
2019,Sector público (total),,Araba/Álava,Ratio,1.24
2019,Sector público (total),,,Ratio,1.21
2010,Sector público (total),,,Ratio,1.13
2018,SG_DMK_JDC,,,Ratio,1.21
2020,Sector público (total),,,Ratio,1.22
2022,SG_DMK_JDC,,,Ratio,1.2
2018,Sector público (total),,Bizkaia,Ratio,1.12
2019,SG_DMK_JDC,,,Ratio,1.23
2021,SG_DMK_PARLMP_LC,,,Ratio,1.01
2018,Sector público (total),,Araba/Álava,Ratio,1.22
2016,Sector público (total),,Bizkaia,Ratio,1.14
2013,Sector público (total),,Araba/Álava,Ratio,1.19
2020,Sector público (total),,Bizkaia,Ratio,1.2
2011,Sector público (total),,Araba/Álava,Ratio,1.16
2019,Sector público (total),,Bizkaia,Ratio,1.19
2017,Sector público (total),,Araba/Álava,Ratio,1.22
2022,Sector público (total),,,Ratio,1.23
2011,Sector público (total),,,Ratio,1.12
2010,Sector público (total),,Bizkaia,Ratio,1.11
2023,Sector público (total),,,Ratio,1.29
2012,SG_DMK_PARLMP_LC,,,Ratio,0.99
2014,Sector público (total),,,Ratio,1.16
2018,Sector público (total),,Gipuzkoa,Ratio,1.17
2020,Sector público (total),,Araba/Álava,Ratio,1.24
2020,SG_DMK_JDC,,,Ratio,1.24
2010,Sector público (total),,Gipuzkoa,Ratio,1.15
2022,Sector público (total),,Bizkaia,Ratio,1.21
2014,SG_DMK_JDC,,,Ratio,1.23
2014,Sector público (total),,Gipuzkoa,Ratio,1.17
2017,Sector público (total),,Gipuzkoa,Ratio,1.21
2017,Sector público (total),,,Ratio,1.19
2022,SG_DMK_PARLMP_LC,,,Ratio,1.01
